"","name","key","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","networkKeys","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","extensions","basisOfRecord","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","scientificName","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","dateIdentified","elevation","elevationAccuracy","continent","stateProvince.original","year","month","day","eventDate","modified","lastInterpreted","license","identifiers","facts","relations","geodeticDatum","class","countryCode","country.original","rightsHolder","identifier","recordNumber","datasetName","municipality.original","locality","language","collectionCode","gbifID","occurrenceID","type","recordedBy","catalogNumber","institutionCode","ownerInstitutionCode","occurrenceRemarks","identifiedBy","otherCatalogNumbers","identificationQualifier","individualCount","habitat","institutionID","verbatimEventDate","higherGeography","endDayOfYear","startDayOfYear","higherClassification","fieldNotes","nomenclaturalCode","preparations","coordinateUncertaintyInMeters","references","county","georeferenceProtocol","collectionID","georeferenceSources","verbatimElevation","georeferencedDate","typeStatus","dynamicProperties","fieldNumber","organismID","datasetID","accessRights","municipality","stateProvince","country","FID","NOME","GEOCODIGO","POINT_X","POINT_Y","NOMEUF","SIGLAUF","estados_shp","x_estado","y_estado","nome","sigla","new_Lat","new_Lon","notes","comments"
"1","Pleroma velutinum",1853943911,-11.097444,-40.651611,"cdround,gass84","b18aa640-0367-4956-a6a4-5f07141127f1","6bfada01-036d-455a-b332-081dbe226a05","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-12-23T18:22:26.400+0000","2018-12-23T18:22:26.502+0000",125,"none","PRESERVED_SPECIMEN",5601261,6,7707728,220,690,6683,7273178,5601261,5601261,"Pleroma velutinum Triana","Pleroma velutinum Triana","Plantae","Tracheophyta","Myrtales","Melastomataceae","Pleroma","Pleroma velutinum","Pleroma","velutinum","SPECIES","ACCEPTED","2018-06-06T00:00:00",610,0,"SOUTH_AMERICA","Bahia",2017,6,13,"2017-06-13T00:00:00","2018-12-17T12:07:03.000+0000","2018-12-23T18:22:26.522+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HVASF - Herbário Vale do São Francisco","BRA:UNIVASF:HVASF:0000023609","114","HVASF - Herbário Vale do São Francisco","Jacobina","Itaitu, Cachoeira Véu de Noiva, parte baixa da queda d'água","pt","HVASF",1853943911,"BRA:UNIVASF:HVASF:0000023609","Collection","E.D.S. Almeida","23609","UNIVASF","Universidade Federal do Vale do São Francisco (UNIVASF)","Arbusto, ca. de 1,5 m alt. Flores liláses com estames liláses.","J.A. Siqueira Filho","","",NA,"","","","",NA,NA,"","","","",NA,"","","","","","","","","",NA,NA,"","","Jacobina","Bahia","brazil",3721,"Jacobina",2917508,-40.560093,-11.137404,"BAHIA","BA","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-11.097444,-40.651611,"original coordinates","original coordinates OK"
"2","Pleroma velutinum",1853943927,-11.372139,-40.506278,"cdround,gass84","b18aa640-0367-4956-a6a4-5f07141127f1","6bfada01-036d-455a-b332-081dbe226a05","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-12-23T18:22:26.410+0000","2018-12-23T18:22:26.545+0000",125,"none","PRESERVED_SPECIMEN",5601261,6,7707728,220,690,6683,7273178,5601261,5601261,"Pleroma velutinum Triana","Pleroma velutinum Triana","Plantae","Tracheophyta","Myrtales","Melastomataceae","Pleroma","Pleroma velutinum","Pleroma","velutinum","SPECIES","ACCEPTED","2018-04-23T00:00:00",560,0,"SOUTH_AMERICA","Bahia",2017,11,29,"2017-11-29T00:00:00","2018-12-17T12:07:03.000+0000","2018-12-23T18:22:26.554+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HVASF - Herbário Vale do São Francisco","BRA:UNIVASF:HVASF:0000023620","125","HVASF - Herbário Vale do São Francisco","Miguel Calmon","Itaitu, Cachoeira do Araponga","pt","HVASF",1853943927,"BRA:UNIVASF:HVASF:0000023620","Collection","E.D.S. Almeida","23620","UNIVASF","Universidade Federal do Vale do São Francisco (UNIVASF)","Arbusto, ca. de 1,5 m alt. Flores liláses, com estames liláses. Cresce sobre acúmulo de argila aluvial na margem do riacho.","J.A. Siqueira Filho","","",NA,"","","","",NA,NA,"","","","",NA,"","","","","","","","","",NA,NA,"","","Miguel Calmon","Bahia","brazil",3683,"Miguel Calmon",2921203,-40.611424,-11.420733,"BAHIA","BA","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-11.372139,-40.506278,"original coordinates","original coordinates OK"
"3","Pleroma velutinum",1324953727,-12.133333,-41.033333,"gass84,txmatfuz","5b5cf455-a448-4c0a-aecd-3e0956f27f10","afdd8e93-b4e3-491c-88f0-8a22834ac1a9","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-12-03T14:13:53.759+0000","2018-12-03T16:16:20.432+0000",122,"none","PRESERVED_SPECIMEN",5601261,6,7707728,220,690,6683,7273178,5601261,5601261,"Pleroma velutinum Triana","Pleroma velutinum Triana","Plantae","Tracheophyta","Myrtales","Melastomataceae","Pleroma","Pleroma velutinum","Pleroma","velutinum","SPECIES","ACCEPTED","2016-05-01T00:00:00",NA,NA,"SOUTH_AMERICA","Bahia",2016,3,25,"2016-03-25T00:00:00","2018-08-28T19:12:59.000+0000","2018-12-06T08:58:00.493+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","ALCB - Herbário Alexandre Leal Costa","BRA:UFBA:ALCB:0000124538","24538","ALCB - Herbário Alexandre Leal Costa","Morro do Chapéu","4 a 8 km de Morro do Chapéu para Utinga.","pt","ALCB",1324953727,"BRA:UFBA:ALCB:0000124538","Collection","Guedes, ML; Velozo, ES; Casaes, M; Araújo, F; Costa, R dos S; Abreu, LS","124538","Universidade Federal da Bahia (UFBA)","Universidade Federal da Bahia (UFBA)","Folhas vilosas, margens vináceas. Inflorescência terminal, flores com pétalas roxas.","Guedes, ML","","",NA,"","","","",NA,NA,"","","","",NA,"","","","","","","","","",NA,NA,"","","Morro do Chapéu","Bahia","brazil",3674,"Morro do Chapéu",2921708,-41.151587,-11.472221,"BAHIA","BA","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-12.133333,-41.033333,"original coordinates","original coordinates outside municipality original in morro do chapeu falls in ruy barbosa"
"4","Pleroma velutinum",1420313857,-13.207222,-38.906389,"gass84,iddatunl","a8e78a51-12b2-4ca1-8945-6d909022ef6a","6cc5aff1-f24c-4d67-a827-a666dc680b66","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-12-24T12:32:12.572+0000","2018-08-03T12:12:43.392+0000",125,"none","PRESERVED_SPECIMEN",3859056,6,7707728,220,690,6683,7273178,5601261,5601261,"Tibouchina velutina (Naud.) Cogn.","Pleroma velutinum Triana","Plantae","Tracheophyta","Myrtales","Melastomataceae","Pleroma","Pleroma velutinum","Tibouchina","velutina","SPECIES","SYNONYM","2017-09-01T00:00:00",NA,NA,"","Bahia",2016,11,23,"2016-11-23T00:00:00","","2018-08-03T12:12:47.640+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HURB - Herbário do Recôncavo da Bahia","BRA:UFRB:HURB:0000015076","2138","HURB - Herbário do Recôncavo da Bahia","Jaguaripe","Praia do Garcês;","pt","HURB",1420313857,"BRA:UFRB:HURB:0000015076","Collection","Costa, G.; Correira, F. & Silva, T.T.","15076","UFRB","Universidade Federal do Recôncavo da Bahia (UFRB)","Flores: roxa; Hábito: arbusto","G.Costa & G.V.Fonseca","","",NA,"","","","",NA,NA,"","","","",NA,"","","","","","","","","",NA,NA,"","","Jaguaripe","Bahia","brazil",3444,"Jaguaripe",2917805,-38.980533,-13.115302,"BAHIA","BA","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-13.207222,-38.906389,"original coordinates","original coordinates OK"
"5","Pleroma velutinum",1424515094,-13.125278,-41.823889,"cdround,gass84","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","none","da7fe11a-b42c-46cb-9e9d-02243edb738a","BR","DWC_ARCHIVE","2018-10-02T15:43:12.275+0000","2018-09-24T20:04:20.916+0000",207,"none","PRESERVED_SPECIMEN",3859056,6,7707728,220,690,6683,7273178,5601261,5601261,"Tibouchina velutina (Naud.) Cogn.","Pleroma velutinum Triana","Plantae","Tracheophyta","Myrtales","Melastomataceae","Pleroma","Pleroma velutinum","Tibouchina","velutina","SPECIES","SYNONYM","none",1436,NA,"","Bahia",2015,7,6,"2015-07-06T00:00:00","2017-10-08T16:42:53.515+0000","2018-12-06T17:01:10.104+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","Rio de Janeiro Botanical Garden","urn:catalog:JBRJ:RB:993986","1443","RB - Rio de Janeiro Botanical Garden Herbarium Collection","Bahia","Mun. Piatã, estrada BA 560, Piatã p/ Campos Gerais, serra da Tromba.","","RB",1424515094,"urn:catalog:JBRJ:RB:993986","PhysicalObject","J.F.A. Baumgratz; M. Bovini, M. Nadruz, T. Meneguzzo & L.S.B. Jordão","RB00993986","JBRJ","","Arbusto ca. 90 cm alt., heliófilo; ramos jovens castanhos, os adultos cinéreos; folhas verdes discolores, indumento alvo, sedoso; pecíolos castanhos; inflorescência e bractéolas vinosas; flores com hipanto e cálice vinosos, pétalas, estames e estilete roxos; frutos jovens vinosos.","F.F.V.A. Barberena","RB 630253","",NA,"","","","",NA,NA,"","","","",NA,"","","","","","","","","",NA,NA,"","","Bahia","Bahia","brazil",NA,"",NA,NA,NA,"","","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-13.125278,-41.823889,"original coordinates","original coordinates outside municipality original in bahia falls in piata"
"6","Pleroma velutinum",1424514986,-13.287778,-41.890833,"cdround,gass84","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","none","da7fe11a-b42c-46cb-9e9d-02243edb738a","BR","DWC_ARCHIVE","2018-10-02T15:43:12.217+0000","2018-09-24T20:04:20.877+0000",207,"none","PRESERVED_SPECIMEN",3859056,6,7707728,220,690,6683,7273178,5601261,5601261,"Tibouchina velutina (Naud.) Cogn.","Pleroma velutinum Triana","Plantae","Tracheophyta","Myrtales","Melastomataceae","Pleroma","Pleroma velutinum","Tibouchina","velutina","SPECIES","SYNONYM","none",1250,NA,"","Bahia",2015,7,5,"2015-07-05T00:00:00","2017-10-08T16:42:06.442+0000","2018-12-06T17:01:09.861+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","Rio de Janeiro Botanical Garden","urn:catalog:JBRJ:RB:993192","1419","RB - Rio de Janeiro Botanical Garden Herbarium Collection","Bahia","Mun. Abaíra, Distrito de Catolés, Catolés de Cima, trilha para o morro do Barbado.","","RB",1424514986,"urn:catalog:JBRJ:RB:993192","PhysicalObject","J.F.A. Baumgratz; M. Bovini, M. Nadruz, T. Meneguzzo & L.S.B. Jordão","RB00993192","JBRJ","","Arbusto ca. 1,2 m alt., heliófilo; ramos jovens e inflorescências vinosos, ramos adultos pardacentos; pecíolos verde-claros, c/ indumento alvo-rosado; folhas verdes discolores, indumento na face abaxial alvo, sedoso; bractéolas alvo-rosadas a vinosas c/ indumento alvo; flores c/ hipanto e cálice vinosos, indumento alvo, pétalas roxas, estames roxo-lilases, estilete rosado. Frutos jovens vinosos.","J.F.A. Baumgratz","RB 630125","aff.",NA,"","","","",NA,NA,"","","","",NA,"","","","","","","","","",NA,NA,"","","Bahia","Bahia","brazil",NA,"",NA,NA,NA,"","","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-13.287778,-41.890833,"original coordinates","original coordinates outside municipality original in bahia falls in abaira"
"7","Pleroma velutinum",1257275660,-13.287778,-41.890833,"gass84,iddatunl","f9040e31-ee85-4b92-9963-a0272a44ec96","a84dccda-c5b2-4319-abbf-3c24601e89a2","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-12-03T15:21:07.994+0000","2018-01-05T18:37:57.832+0000",111,"none","PRESERVED_SPECIMEN",3859056,6,7707728,220,690,6683,7273178,5601261,5601261,"Tibouchina velutina (Naud.) Cogn.","Pleroma velutinum Triana","Plantae","Tracheophyta","Myrtales","Melastomataceae","Pleroma","Pleroma velutinum","Tibouchina","velutina","SPECIES","SYNONYM","2015-07-01T00:00:00",1250,0,"","Bahia",2015,7,5,"2015-07-05T00:00:00","","2018-07-07T19:48:01.848+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","UFMT - Herbário UFMT","BRA:UFMT:UFMT:0000042885","1418","UFMT - Herbário UFMT","Abaíra","Distrito de Catolés, Catolés de Cima, trilha para o Morro do Barbado","pt","UFMT",1257275660,"BRA:UFMT:UFMT:0000042885","Collection","Baumgratz, J.F.A.; Bovini, M.; Nadruz, M.; Meneguzzo, T.; Jordão, L.S.B.","42885","UFMT","Universidade Federal de Mato Grosso (UFMT)","Arbusto ca. 1,3m alt., heliófilo, ramos jovens e inflorescências vinosos, ramos adultos pardo cinéreos, pecíolos vinoso claros, folhas verdes discolores, indumento na face abaxial alvo, sedoso, bractéolas vinosas com indumento alvo, flores com hipant","Baumgratz, J.F.A.","","",NA,"","","","",NA,NA,"","","","",NA,"","","","","","","","","",NA,NA,"","","Abaíra","Bahia","brazil",3422,"Abaíra",2900108,-41.733851,-13.297212,"BAHIA","BA","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-13.287778,-41.890833,"original coordinates","original coordinates OK"
"8","Pleroma velutinum",1424515071,-13.125278,-41.823889,"cdround,gass84","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","none","da7fe11a-b42c-46cb-9e9d-02243edb738a","BR","DWC_ARCHIVE","2018-10-02T15:43:12.250+0000","2018-09-24T20:04:20.931+0000",207,"none","PRESERVED_SPECIMEN",3859056,6,7707728,220,690,6683,7273178,5601261,5601261,"Tibouchina velutina (Naud.) Cogn.","Pleroma velutinum Triana","Plantae","Tracheophyta","Myrtales","Melastomataceae","Pleroma","Pleroma velutinum","Tibouchina","velutina","SPECIES","SYNONYM","none",1436,NA,"","Bahia",2015,7,6,"2015-07-06T00:00:00","2017-10-08T16:42:51.772+0000","2018-12-06T17:01:10.100+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","Rio de Janeiro Botanical Garden","urn:catalog:JBRJ:RB:993984","1442","RB - Rio de Janeiro Botanical Garden Herbarium Collection","Bahia","Mun. Piatã, estrada BA 560, Piatã p/ Campos Gerais, serra da Tromba.","","RB",1424515071,"urn:catalog:JBRJ:RB:993984","PhysicalObject","J.F.A. Baumgratz; M. Bovini, M. Nadruz, T. Meneguzzo & L.S.B. Jordão","RB00993984","JBRJ","","Arbusto ca. 1 m alt., heliófilo; ramos jovens castanhos, os adultos cinéreos; folhas verdes discolores, indumento alvo, sedoso; pecíolos castanhos; inflorescência e bractéolas vinosas; flores com hipanto e cálice vinosos, pétalas, estames e estilete roxos; frutos jovens vinosos.","J.F.A. Baumgratz","RB 630251","",NA,"","","","",NA,NA,"","","","",NA,"","","","","","","","","",NA,NA,"","","Bahia","Bahia","brazil",NA,"",NA,NA,NA,"","","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-13.125278,-41.823889,"original coordinates","original coordinates outside municipality original in bahia falls in piata"
"9","Pleroma velutinum",1424515126,-13.125278,-41.823889,"cdround,gass84","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","none","da7fe11a-b42c-46cb-9e9d-02243edb738a","BR","DWC_ARCHIVE","2018-10-02T15:43:12.244+0000","2018-09-24T20:04:21.003+0000",207,"none","PRESERVED_SPECIMEN",3859056,6,7707728,220,690,6683,7273178,5601261,5601261,"Tibouchina velutina (Naud.) Cogn.","Pleroma velutinum Triana","Plantae","Tracheophyta","Myrtales","Melastomataceae","Pleroma","Pleroma velutinum","Tibouchina","velutina","SPECIES","SYNONYM","none",1437,NA,"","Bahia",2015,7,6,"2015-07-06T00:00:00","2017-10-08T16:42:54.644+0000","2018-12-06T17:01:10.101+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","Rio de Janeiro Botanical Garden","urn:catalog:JBRJ:RB:993987","1444","RB - Rio de Janeiro Botanical Garden Herbarium Collection","Bahia","Mun. Piatã, estrada BA 560, Piatã p/ Campos Gerais, serra da Tromba.","","RB",1424515126,"urn:catalog:JBRJ:RB:993987","PhysicalObject","J.F.A. Baumgratz","RB00993987","JBRJ","","Arbusto ca. 80 cm alt., heliófilo; ramos jovens castanhos, os adultos cinéreos; folhas verdes discolores, indumento alvo, sedoso; pecíolos castanhos; inflorescências vinosas; botões florais envoltos por bractéolas vinosas.","J.F.A. Baumgratz","RB 630254","",NA,"","","","",NA,NA,"","","","",NA,"","","","","","","","","",NA,NA,"","","Bahia","Bahia","brazil",NA,"",NA,NA,NA,"","","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-13.125278,-41.823889,"original coordinates","original coordinates outside municipality original in bahia falls in piata"
"10","Pleroma velutinum",1424514955,-13.286389,-41.890833,"cdround,gass84","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","none","da7fe11a-b42c-46cb-9e9d-02243edb738a","BR","DWC_ARCHIVE","2018-10-02T15:43:12.212+0000","2018-09-24T20:04:20.876+0000",207,"none","PRESERVED_SPECIMEN",3859056,6,7707728,220,690,6683,7273178,5601261,5601261,"Tibouchina velutina (Naud.) Cogn.","Pleroma velutinum Triana","Plantae","Tracheophyta","Myrtales","Melastomataceae","Pleroma","Pleroma velutinum","Tibouchina","velutina","SPECIES","SYNONYM","none",1243,NA,"","Bahia",2015,7,5,"2015-07-05T00:00:00","2017-10-08T16:41:56.209+0000","2018-12-06T17:01:10.040+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","Rio de Janeiro Botanical Garden","urn:catalog:JBRJ:RB:993160","1411","RB - Rio de Janeiro Botanical Garden Herbarium Collection","Bahia","Mun. Abaíra, Distrito de Catolés, Catolés de Cima, trilha para o morro do Barbado.","","RB",1424514955,"urn:catalog:JBRJ:RB:993160","PhysicalObject","J.F.A. Baumgratz; M. Bovini, M. Nadruz, T. Meneguzzo & L.S.B. Jordão","RB00993160","JBRJ","","Arbusto ca. 1 m alt., heliófilo; ramos jovens e inflorescências vinosos, ramos adultos pardo-cinéreos; pecíolos vinoso-claros; folhas verdes discolores, indumento na face abaxial alvo, sedoso; bractéolas vinosas c/ indumento alvo; flores c/ hipanto e cálice verde-vinosos, pétalas roxas, estames roxo-lilases, estilete rosado. Frutos jovens verde-vinosos, indumento alvo.","J.F.A. Baumgratz","RB 630109","aff.",NA,"","","","",NA,NA,"","","","",NA,"","","","","","","","","",NA,NA,"","","Bahia","Bahia","brazil",NA,"",NA,NA,NA,"","","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-13.286389,-41.890833,"original coordinates","original coordinates outside municipality original in bahia falls in abaira"
"11","Pleroma velutinum",1456451922,-13.4511,-45.3167,"gass84","821cc27a-e3bb-4bc5-ac34-89ada245069d","bc092ff0-02e4-11dc-991f-b8a03c50a862","none","b2ff19b5-d74f-40d2-82f1-ec5db01e8e31","US","DWC_ARCHIVE","2018-07-02T13:36:52.961+0000","2018-04-02T18:55:00.729+0000",58,"none","PRESERVED_SPECIMEN",3859056,6,7707728,220,690,6683,7273178,5601261,5601261,"Tibouchina velutina (Naud.) Cogn.","Pleroma velutinum Triana","Plantae","Tracheophyta","Myrtales","Melastomataceae","Pleroma","Pleroma velutinum","Tibouchina","velutina","SPECIES","SYNONYM","none",1021,NA,"SOUTH_AMERICA","Bahia",2014,7,25,"2014-07-25T00:00:00","","2018-12-06T14:30:02.971+0000","http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","","http://n2t.net/ark:/65665/3f0eade39-80f3-463d-88a7-afe892e77b4e","4341","NMNH Extant Biology","","Rio de Contas, Distrito de Arapiranga, trilha a partir do Sitio Seco, Estrada Real - Porto Gordo","","Botany",1456451922,"http://n2t.net/ark:/65665/3f0eade39-80f3-463d-88a7-afe892e77b4e","PhysicalObject","N. Roque, M. Alves & A. Gándara","3693482","US","","","","","",1,"Campo rupestre","http://biocol.org/urn:lsid:biocol.org:col:34871","25 July 2014","South America, Brazil, Bahia",206,206,"Plantae, Dicotyledonae, Myrtales, Melastomataceae","","","",NA,"","","","","","","","","",NA,NA,"","","","Bahia","brazil",NA,"",NA,NA,NA,"","","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-13.4511,-45.3167,"original coordinates","original coordinates outside municipality original in  falls in correntina"
"12","Pleroma velutinum",1320393373,-13.5175,-41.9433,"gass84","821cc27a-e3bb-4bc5-ac34-89ada245069d","bc092ff0-02e4-11dc-991f-b8a03c50a862","none","b2ff19b5-d74f-40d2-82f1-ec5db01e8e31","US","DWC_ARCHIVE","2018-07-02T13:28:08.760+0000","2018-04-02T17:27:52.008+0000",58,"none","PRESERVED_SPECIMEN",3859056,6,7707728,220,690,6683,7273178,5601261,5601261,"Tibouchina velutina (Naud.) Cogn.","Pleroma velutinum Triana","Plantae","Tracheophyta","Myrtales","Melastomataceae","Pleroma","Pleroma velutinum","Tibouchina","velutina","SPECIES","SYNONYM","none",1428,NA,"","Bahia",2014,8,27,"2014-08-27T00:00:00","","2018-12-06T01:19:20.162+0000","http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","","http://n2t.net/ark:/65665/38d25bdd0-8833-4df7-a563-1ea32b18e9f3","700","NMNH Extant Biology","","Rio de Contas, Subida para o Pico das Almas, Vale do Queiroz","","Botany",1320393373,"http://n2t.net/ark:/65665/38d25bdd0-8833-4df7-a563-1ea32b18e9f3","PhysicalObject","F. Hurbath, O. Silva & F. Seixas","3679521","US","","","Coelho, J.","","",1,"Gerais com aflormento rochoso","http://biocol.org/urn:lsid:biocol.org:col:34871","","South America - Neotropics, Brazil, Bahia",239,239,"Plantae, Dicotyledonae, Myrtales, Melastomataceae","","","",NA,"","","","","","","","","",NA,NA,"","","","Bahia","brazil",NA,"",NA,NA,NA,"","","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-13.5175,-41.9433,"original coordinates","original coordinates outside municipality original in  falls in rio de contas"
"13","Pleroma velutinum",1077243142,-11.55,-41.15,"gass84,txmatfuz","5b5cf455-a448-4c0a-aecd-3e0956f27f10","afdd8e93-b4e3-491c-88f0-8a22834ac1a9","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-12-03T14:13:47.996+0000","2018-12-03T16:16:07.832+0000",122,"none","PRESERVED_SPECIMEN",5601261,6,7707728,220,690,6683,7273178,5601261,5601261,"Pleroma velutinum Triana","Pleroma velutinum Triana","Plantae","Tracheophyta","Myrtales","Melastomataceae","Pleroma","Pleroma velutinum","Pleroma","velutinum","SPECIES","ACCEPTED","2013-05-01T00:00:00",NA,NA,"SOUTH_AMERICA","Bahia",2013,1,19,"2013-01-19T00:00:00","2018-08-28T19:12:59.000+0000","2018-12-06T14:16:39.629+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","ALCB - Herbário Alexandre Leal Costa","BRA:UFBA:ALCB:0000107549","20257a","ALCB - Herbário Alexandre Leal Costa","Piemonte da Diamantina","Morro do Chapéu, Morrão, próximo da Torre.","pt","ALCB",1077243142,"BRA:UFBA:ALCB:0000107549","Collection","Guedes, ML; Alunos do PARFOR","107549","Universidade Federal da Bahia (UFBA)","Universidade Federal da Bahia (UFBA)","Folhas vilosas, com margem vinácea. Inflorescência terminal, botões vilosos., flores passadas. Fruto cápsula.","Guedes, ML","","",NA,"","","","",NA,NA,"","","","",NA,"","","","","","","","","",NA,NA,"","","Piemonte da Diamantina","Bahia","brazil",NA,"",NA,NA,NA,"","","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-11.55,-41.15,"original coordinates","original coordinates outside municipality original in piemonte da diamantina falls in morro do chapeu"
"14","Pleroma velutinum",1571775419,-11,-41,"gass84","2e684fd6-09e2-4661-910a-0a188b610c04","60545be9-4f28-4245-b4b4-07635c8dfa54","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-12-14T17:02:27.415+0000","2018-09-10T18:27:47.520+0000",129,"none","PRESERVED_SPECIMEN",3859056,6,7707728,220,690,6683,7273178,5601261,5601261,"Tibouchina velutina (Naud.) Cogn.","Pleroma velutinum Triana","Plantae","Tracheophyta","Myrtales","Melastomataceae","Pleroma","Pleroma velutinum","Tibouchina","velutina","SPECIES","SYNONYM","none",NA,NA,"","Bahia",2013,4,30,"2013-04-30T00:00:00","2018-09-06T20:09:34.000+0000","2018-12-08T17:23:30.640+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HUEFS - Herbario da Universidade Estadual de Feira de Santana","BRA:UEFS:HUEFS:0000224502","793","HUEFS - Herbario da Universidade Estadual de Feira de Santana","Morro do Chapéu","Lagoa das Velhas, afloramentos rochosos após as dunas.","pt","HUEFS",1571775419,"BRA:UEFS:HUEFS:0000224502","Collection","Freitas, J.G.","224502","UEFS","Universidade Estadual de Feira de Santana (UEFS)","","","","",NA,"","","","",NA,NA,"","","","",NA,"","","","","","","","","",NA,NA,"","","Morro do Chapéu","Bahia","brazil",3674,"Morro do Chapéu",2921708,-41.151587,-11.472221,"BAHIA","BA","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-11,-41,"original coordinates","original coordinates outside municipality original in morro do chapeu falls in ourolandia"
