"","name","key","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","networkKeys","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","extensions","basisOfRecord","individualCount","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","scientificName","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","dateIdentified","stateProvince.original","year","month","day","eventDate","lastInterpreted","license","identifiers","facts","relations","geodeticDatum","class","countryCode","country.original","rightsHolder","identifier","recordNumber","datasetName","municipality.original","locality","language","collectionCode","gbifID","occurrenceID","type","preparations","recordedBy","catalogNumber","institutionCode","ownerInstitutionCode","occurrenceRemarks","identifiedBy","elevation","elevationAccuracy","modified","otherCatalogNumbers","continent","references","created","associatedSequences","taxonID","higherClassification","institutionID","nomenclaturalCode","verbatimEventDate","endDayOfYear","county","startDayOfYear","collectionID","coordinateUncertaintyInMeters","habitat","georeferenceProtocol","eventRemarks","identificationQualifier","rights","fieldNotes","higherGeography","nomenclaturalStatus","bibliographicCitation","verbatimElevation","georeferenceSources","georeferencedDate","organismID","datasetID","accessRights","typeStatus","municipality","stateProvince","country","FID","NOME","GEOCODIGO","POINT_X","POINT_Y","NOMEUF","SIGLAUF","estados_shp","x_estado","y_estado","nome","sigla","new_Lat","new_Lon","notes","comments"
"1","Byrsonima laxiflora",1944854400,-21.031944,-51.785277,"gass84","e38d4c95-3a1d-4594-9ae9-883b48042e6d","7ef169f9-81f8-46a2-a7f7-240df6a1889c","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T18:21:44.702+0000","2018-11-23T18:21:44.735+0000",123,"none","PRESERVED_SPECIMEN",1,7285610,6,7707728,220,1414,6676,3191347,7285610,7285610,"Byrsonima laxiflora Griseb.","Byrsonima laxiflora Griseb.","Plantae","Tracheophyta","Malpighiales","Malpighiaceae","Byrsonima","Byrsonima laxiflora","Byrsonima","laxiflora","SPECIES","ACCEPTED","none","Mato Grosso do Sul",2018,1,3,"2018-01-03T00:00:00","2018-11-23T18:23:03.485+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","CEN - Herbário da Embrapa Recursos Genéticos e Biotecnologia","BRA:Cenargen:CEN:0000104930","4","CEN - Herbário da Embrapa Recursos Genéticos e Biotecnologia","TRES LAGOAS","Fragmento de Cerradão (CER_4) dentro da fazenda Barra do Moeda, propriedade da FIBRIA Celulose - Unidade Três Lagoas.","pt","CEN",1944854400,"BRA:Cenargen:CEN:0000104930","Collection","Exsicatas","Matheus Santos Martins","104930","Cenargen","Empresa Brasileira de Pesquisa Agropecuária (EMBRAPA)","Árvore com 4,5m de altura x 3,5cm de DAP. Botões florais de cor amarelo alaranjado. Doação da Flora do Brasil - Mato Grosso do Sul.","M. S. Martins",NA,NA,"","","","","","",NA,"","","","",NA,"",NA,"",NA,"","","","","","","","","","","","",NA,"","","","TRES LAGOAS","Mato Grosso do Sul","brazil",2276,"Três Lagoas",5008305,-52.212539,-20.438537,"MATO GROSSO DO SUL","MS","Mato Grosso do Sul",-54.84600034,-20.32777902,"Mato Grosso do Sul","ms",-21.031944,-51.785277,"original coordinates","original coordinates OK"
"2","Byrsonima laxiflora",1944855622,-15.76,-41.788055,"gass84","e38d4c95-3a1d-4594-9ae9-883b48042e6d","7ef169f9-81f8-46a2-a7f7-240df6a1889c","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T18:21:46.117+0000","2018-11-23T18:21:46.160+0000",123,"none","PRESERVED_SPECIMEN",4,7285610,6,7707728,220,1414,6676,3191347,7285610,7285610,"Byrsonima laxiflora Griseb.","Byrsonima laxiflora Griseb.","Plantae","Tracheophyta","Malpighiales","Malpighiaceae","Byrsonima","Byrsonima laxiflora","Byrsonima","laxiflora","SPECIES","ACCEPTED","none","Minas Gerais",2018,3,5,"2018-03-05T00:00:00","2018-11-23T18:23:04.175+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","CEN - Herbário da Embrapa Recursos Genéticos e Biotecnologia","BRA:Cenargen:CEN:0000106077","7205","CEN - Herbário da Embrapa Recursos Genéticos e Biotecnologia","BERIZAL","Serra do Anastácio.","pt","CEN",1944855622,"BRA:Cenargen:CEN:0000106077","Collection","Exsicatas","Anderson Cássio Sevilha","106077","Cenargen","Empresa Brasileira de Pesquisa Agropecuária (EMBRAPA)","","B. M. T. Walter",1310,0,"","","","","","",NA,"","","","",NA,"",NA,"",NA,"","","","","","","","","","","","",NA,"","","","BERIZAL","Minas Gerais","brazil",3118,"Berizal",3106655,-41.763675,-15.68589,"MINAS GERAIS","MG","Minas Gerais",-44.67333254,-18.45539008,"Minas Gerais","mg",-15.76,-41.788055,"original coordinates","original coordinates outside municipality original in berizal falls in curral de dentro"
"3","Byrsonima laxiflora",1840912777,-22.397222,-42.737778,"cdround,gass84","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","none","da7fe11a-b42c-46cb-9e9d-02243edb738a","BR","DWC_ARCHIVE","2018-10-02T15:37:23.177+0000","2018-09-24T19:59:04.194+0000",207,"none","PRESERVED_SPECIMEN",NA,7285610,6,7707728,220,1414,6676,3191347,7285610,7285610,"Byrsonima laxiflora Griseb.","Byrsonima laxiflora Griseb.","Plantae","Tracheophyta","Malpighiales","Malpighiaceae","Byrsonima","Byrsonima laxiflora","Byrsonima","laxiflora","SPECIES","ACCEPTED","2018-07-21T00:00:00","Rio de Janeiro",2018,4,3,"2018-04-03T00:00:00","2018-12-08T19:50:29.181+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","Rio de Janeiro Botanical Garden","urn:catalog:JBRJ:RB:1386404","1554","RB - Rio de Janeiro Botanical Garden Herbarium Collection","Cachoeiras de Macacu","Guapiaçu. REGUA - Trilha verde. Parque Estadual dos Três Picos/Reserva Ecológica de Guapiaçu","","RB",1840912777,"urn:catalog:JBRJ:RB:1386404","PhysicalObject","","C. Baez; E. P. Fernandez & R. C. Gomes","RB01386404","JBRJ","","Árvore matriz nº 92; CAP 102 cm; Folhas verdes discolores. Corte rosado. Frutos verdes. Elaióforos alvacentos.","M. Verdi",NA,NA,"2018-07-24T10:58:38.539+0000","RB 763987","","","","",NA,"","","","",NA,"",NA,"",NA,"","","","","","","","","","","","",NA,"","","","Cachoeiras de Macacu","Rio de Janeiro","brazil",1523,"Cachoeiras de Macacu",3300803,-42.729308,-22.515423,"RIO DE JANEIRO","RJ","Rio de Janeiro",-42.66307908,-22.19581555,"Rio de Janeiro","rj",-22.397222,-42.737778,"original coordinates","original coordinates OK"
"4","Byrsonima laxiflora",1087664367,-17.037222,-51.818333,"gass84","d2470ef8-edfa-4ba7-821e-c3e1a537bdba","4265f332-341c-45f6-b30b-5dc2e39b86e8","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-14T17:11:44.420+0000","2017-12-29T14:10:18.954+0000",121,"none","PRESERVED_SPECIMEN",NA,7285610,6,7707728,220,1414,6676,3191347,7285610,7285610,"Byrsonima laxiflora Griseb.","Byrsonima laxiflora Griseb.","Plantae","Tracheophyta","Malpighiales","Malpighiaceae","Byrsonima","Byrsonima laxiflora","Byrsonima","laxiflora","SPECIES","ACCEPTED","2015-01-01T00:00:00","Goiás",2015,3,6,"2015-03-06T00:00:00","2018-12-08T13:05:48.864+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","BHCB - Herbário da Universidade Federal de Minas Gerais","BRA:UFMG:BHCB:0000175240","s.n.","BHCB - Herbário da Universidade Federal de Minas Gerais","Caiapônia","","pt","BHCB",1087664367,"BRA:UFMG:BHCB:0000175240","Collection","","Lemos Filho, JP; Lovato, MB","175240","Universidade Federal de Minas Gerais (UFMG)","Universidade Federal de Minas Gerais (UFMG)","","",702,0,"2017-03-31T17:55:23.000+0000","","SOUTH_AMERICA","","","",NA,"","","","",NA,"",NA,"",NA,"","","","","","","","","","","","",NA,"","","","Caiapônia","Goiás","brazil",2905,"Caiapônia",5204409,-51.816149,-17.006145,"GOIAS","GO","Goiás",-49.62349059,-16.04162242,"Goiás","go",-17.037222,-51.818333,"original coordinates","original coordinates OK"
"5","Byrsonima laxiflora",1265928049,-15.738333,-47.918611,"gass84","e38d4c95-3a1d-4594-9ae9-883b48042e6d","7ef169f9-81f8-46a2-a7f7-240df6a1889c","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T18:21:37.881+0000","2018-11-23T18:21:38.000+0000",123,"none","PRESERVED_SPECIMEN",1,7285610,6,7707728,220,1414,6676,3191347,7285610,7285610,"Byrsonima laxiflora Griseb.","Byrsonima laxiflora Griseb.","Plantae","Tracheophyta","Malpighiales","Malpighiaceae","Byrsonima","Byrsonima laxiflora","Byrsonima","laxiflora","SPECIES","ACCEPTED","none","Distrito Federal",2015,5,23,"2015-05-23T00:00:00","2018-11-23T18:22:54.040+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","CEN - Herbário da Embrapa Recursos Genéticos e Biotecnologia","BRA:Cenargen:CEN:0000091064","1662","CEN - Herbário da Embrapa Recursos Genéticos e Biotecnologia","BRASILIA","Parque Nacional de Brasília - Borda do Cerrado entorno da estrada próximo a Piscina Nova.","pt","CEN",1265928049,"BRA:Cenargen:CEN:0000091064","Collection","Unicata","Carlos Romero Martins","91064","Cenargen","Empresa Brasileira de Pesquisa Agropecuária (EMBRAPA)","Doação Flora do Brasil - Distrito Federal.","B. M. T. Walter",NA,NA,"","","","","","",NA,"","","","",NA,"",NA,"",NA,"","","","","","","","","","","","",NA,"","","","BRASILIA","Distrito Federal","brazil",3101,"Brasília",5300108,-47.797394,-15.780212,"DISTRITO FEDERAL","DF","Distrito Federal",-47.79774208,-15.78050687,"Distrito Federal","df",-15.738333,-47.918611,"original coordinates","original coordinates OK"
"6","Byrsonima laxiflora",1420319282,-18.172944,-53.402333,"gass84","ec20771d-5c61-409f-825c-3eea4118c437","658207e3-b01f-4007-b14d-64b13022cd5a","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-27T09:39:29.359+0000","2018-07-04T12:03:56.783+0000",126,"none","PRESERVED_SPECIMEN",NA,7285610,6,7707728,220,1414,6676,3191347,7285610,7285610,"Byrsonima laxiflora Griseb.","Byrsonima laxiflora Griseb.","Plantae","Tracheophyta","Malpighiales","Malpighiaceae","Byrsonima","Byrsonima laxiflora","Byrsonima","laxiflora","SPECIES","ACCEPTED","2015-11-18T00:00:00","Mato Grosso do Sul",2015,11,18,"2015-11-18T00:00:00","2018-07-07T01:05:16.605+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul","BRA:UFMS:CGMS:0000058014","27","CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul","Jateí","Parque Estadual das Nascentes do Rio Taquari.","pt","CGMS",1420319282,"BRA:UFMS:CGMS:0000058014","Collection","","B.B. Brandão","58014","Fundação Universidade Federal de Mato Grosso do Sul (UFMS)","Fundação Universidade Federal de Mato Grosso do Sul (UFMS)","HABITAT:Floresta Estacional Semidecidual com elementos de cerrado.; HABITO:Árvore.;","A.H.A. Souza; B.B. Brandão; L.M. Bergamo",436,0,"","","","","","",NA,"","","","",NA,"",NA,"",NA,"","","","","","","","","","","","",NA,"","","","Jateí","Mato Grosso do Sul","brazil",1450,"Jateí",5005103,-53.958032,-22.706211,"MATO GROSSO DO SUL","MS","Mato Grosso do Sul",-54.84600034,-20.32777902,"Mato Grosso do Sul","ms",-18.172944,-53.402333,"original coordinates","original coordinates outside municipality original in jatei falls in alcinopolis"
"7","Byrsonima laxiflora",1324960135,-15.508611,-55.404167,"gass84","f9040e31-ee85-4b92-9963-a0272a44ec96","a84dccda-c5b2-4319-abbf-3c24601e89a2","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-12-03T15:21:08.080+0000","2018-09-02T19:45:57.659+0000",111,"none","PRESERVED_SPECIMEN",NA,7285610,6,7707728,220,1414,6676,3191347,7285610,7285610,"Byrsonima laxiflora Griseb.","Byrsonima laxiflora Griseb.","Plantae","Tracheophyta","Malpighiales","Malpighiaceae","Byrsonima","Byrsonima laxiflora","Byrsonima","laxiflora","SPECIES","ACCEPTED","2015-11-04T00:00:00","Mato Grosso",2015,11,4,"2015-11-04T00:00:00","2018-12-06T08:58:04.494+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","UFMT - Herbário UFMT","BRA:UFMT:UFMT:0000043019","1438","UFMT - Herbário UFMT","Chapada dos Guimarães","Rio da casca, próximo a Cachoeira da Martinha","pt","UFMT",1324960135,"BRA:UFMT:UFMT:0000043019","Collection","","Francener, A.; Araújo, G.J.M.; Gonzaga, L.N.","43019","UFMT","Universidade Federal de Mato Grosso (UFMT)","Árvore, 4m altura, folhas discolores verdes, glândulas amarelas e flores amarelas; margem do rio","Francener, A.",NA,NA,"2018-08-10T00:11:06.000+0000","","","","","",NA,"","","","",NA,"",NA,"",NA,"","","","","","","","","","","","",NA,"","","","Chapada dos Guimarães","Mato Grosso","brazil",3200,"Chapada dos Guimarães",5103007,-55.541072,-15.109647,"MATO GROSSO","MT","Mato Grosso",-55.91290105,-12.94917881,"Mato Grosso","mt",-15.508611,-55.404167,"original coordinates","original coordinates OK"
"8","Byrsonima laxiflora",1324960143,-14.593333,-55.959444,"gass84","f9040e31-ee85-4b92-9963-a0272a44ec96","a84dccda-c5b2-4319-abbf-3c24601e89a2","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-12-03T15:21:08.063+0000","2018-01-05T18:37:57.755+0000",111,"none","PRESERVED_SPECIMEN",NA,7285610,6,7707728,220,1414,6676,3191347,7285610,7285610,"Byrsonima laxiflora Griseb.","Byrsonima laxiflora Griseb.","Plantae","Tracheophyta","Malpighiales","Malpighiaceae","Byrsonima","Byrsonima laxiflora","Byrsonima","laxiflora","SPECIES","ACCEPTED","2015-11-06T00:00:00","Mato Grosso",2015,11,6,"2015-11-06T00:00:00","2018-12-06T08:58:04.418+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","UFMT - Herbário UFMT","BRA:UFMT:UFMT:0000043018","1439","UFMT - Herbário UFMT","Nobres","Estrada próxima a Recanto Lagoa Azul","pt","UFMT",1324960143,"BRA:UFMT:UFMT:0000043018","Collection","","Francener, A.","43018","UFMT","Universidade Federal de Mato Grosso (UFMT)","Arvoreta 2m altura, folhas discolores verdes, glândulas amarelas e flores amarelas; Cerrado","Francener, A.",241,0,"2016-10-27T15:32:45.000+0000","","","","","",NA,"","","","",NA,"",NA,"",NA,"","","","","","","","","","","","",NA,"","","","Nobres","Mato Grosso","brazil",3302,"Nobres",5105903,-55.792092,-14.367864,"MATO GROSSO","MT","Mato Grosso",-55.91290105,-12.94917881,"Mato Grosso","mt",-14.593333,-55.959444,"original coordinates","original coordinates OK"
"9","Byrsonima laxiflora",1944965223,-23.938611,-47.372222,"gass84","1bb3cae3-b91f-4109-8a2d-a1f05f2d6fd3","76dbcb10-efc5-4d5f-87a5-bcd409fc92c8","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T12:30:56.452+0000","2018-11-24T12:30:56.473+0000",126,"none","PRESERVED_SPECIMEN",NA,7285610,6,7707728,220,1414,6676,3191347,7285610,7285610,"Byrsonima laxiflora Griseb.","Byrsonima laxiflora Griseb.","Plantae","Tracheophyta","Malpighiales","Malpighiaceae","Byrsonima","Byrsonima laxiflora","Byrsonima","laxiflora","SPECIES","ACCEPTED","2016-01-15T00:00:00","São Paulo",2015,12,13,"2015-12-13T00:00:00","2018-11-24T12:30:56.583+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","SPF - Herbário da Universidade de São Paulo","BRA:USP:SPF:0000225692","28","SPF - Herbário da Universidade de São Paulo","Pirassununga","Cerrado de Emas, Rodovia SP201, próximo à Vila Santa Fé.","pt","SPF",1944965223,"BRA:USP:SPF:0000225692","Collection","","Furlan, CM","225692","USP","Universidade de São Paulo, USP","Erva altura de 30 cm, folhas simples verticiladas (3 por nó), inflorescência terminal com flores alaranjadas. Voucher de estudo fitoquímico.; Cerrado.","Motta, LB",575,0,"","","","","","",NA,"","","","",NA,"",NA,"",NA,"","","","","","","","","","","","",NA,"","","","Pirassununga","São Paulo","brazil",1710,"Pirassununga",3539301,-47.389927,-21.995801,"SAO PAULO","SP","São Paulo",-48.72944932,-22.26440593,"São Paulo","sp",-23.938611,-47.372222,"original coordinates","original coordinates outside municipality original in pirassununga falls in ibiuna"
"10","Byrsonima laxiflora",1942227436,-22.6,-50.38,"cudc,gass84","ad43e954-dd79-4986-ae34-9ccdbd8bf568","ada9d123-ddb4-467d-8891-806ea8d94230","none","9e4f3516-2b98-4700-a39a-3f109252508c","GB","DWC_ARCHIVE","2018-12-11T20:28:29.742+0000","2018-11-19T16:53:39.336+0000",95,"none","PRESERVED_SPECIMEN",NA,7285610,6,7707728,220,1414,6676,3191347,7285610,7285610,"Byrsonima laxiflora Griseb.","Byrsonima laxiflora Griseb.","Plantae","Tracheophyta","Malpighiales","Malpighiaceae","Byrsonima","Byrsonima laxiflora","Byrsonima","laxiflora","SPECIES","ACCEPTED","none","",2014,2,1,"2014-02-01T00:00:00","2018-12-07T16:07:54.568+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","","MG718809","","","","Brazil:Parcela permanente 10.24ha, Estacao Ecologica de Assis, Assis county, Sao Paulo State","","",1942227436,"MG718809","","","R.A.F. Lima & M.C. Vaz",NA,"","","","",550,NA,"2018-10-04T00:00:00.000+0000","","","http://www.ebi.ac.uk/ena/data/view/MG718809","2018-10-04","MG718809",1801583,"Eukaryota;Viridiplantae;Streptophyta;Embryophyta;Tracheophyta;Spermatophyta;Magnoliophyta;eudicotyledons;Gunneridae;Pentapetalae;rosids;fabids;Malpighiales;Malpighiaceae;Byrsonima","","","",NA,"",NA,"",NA,"","","","","","","","","","","","",NA,"","","","","","brazil",NA,"",NA,NA,NA,"","","",NA,NA,NA,"",-22.6,-50.38,"original coordinates","original coordinates outside municipality original in  falls in assis"
"11","Byrsonima laxiflora",1213658750,-17.172778,-50.834444,"gass84","d82d5a18-0428-4e52-be16-f509153e8126","e97090cb-7731-41c7-ac24-31a841730654","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-14T17:19:35.302+0000","2018-01-05T18:34:59.139+0000",114,"none","PRESERVED_SPECIMEN",NA,7285610,6,7707728,220,1414,6676,3191347,7285610,7285610,"Byrsonima laxiflora Griseb.","Byrsonima laxiflora Griseb.","Plantae","Tracheophyta","Malpighiales","Malpighiaceae","Byrsonima","Byrsonima laxiflora","Byrsonima","laxiflora","SPECIES","ACCEPTED","2014-05-27T00:00:00","Goiás",2014,4,12,"2014-04-12T00:00:00","2018-07-08T01:32:01.963+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","UB - Herbário da Universidade de Brasília","BRA:UnB:UB:0000202306","8183","UB - Herbário da Universidade de Brasília","Paraúna","","pt","UB",1213658750,"BRA:UnB:UB:0000202306","Collection","","Munhoz, CBR; Turma de Vegetação do Cerrado","202306","UnB","Universidade de Brasília (UnB)","Flores novas, frutos verde-amarelados.; Floresta estacional semidecidual","Horstmann, N",673,0,"","","SOUTH_AMERICA","","","",NA,"","","","",NA,"",NA,"",NA,"","","","","","","","","","","","",NA,"","","","Paraúna","Goiás","brazil",2899,"Paraúna",5216403,-50.638058,-17.046597,"GOIAS","GO","Goiás",-49.62349059,-16.04162242,"Goiás","go",-17.172778,-50.834444,"original coordinates","original coordinates OK"
"12","Byrsonima laxiflora",1213658813,-17.172778,-50.834444,"gass84","d82d5a18-0428-4e52-be16-f509153e8126","e97090cb-7731-41c7-ac24-31a841730654","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-14T17:19:35.334+0000","2018-01-05T18:34:59.123+0000",114,"none","PRESERVED_SPECIMEN",NA,7285610,6,7707728,220,1414,6676,3191347,7285610,7285610,"Byrsonima laxiflora Griseb.","Byrsonima laxiflora Griseb.","Plantae","Tracheophyta","Malpighiales","Malpighiaceae","Byrsonima","Byrsonima laxiflora","Byrsonima","laxiflora","SPECIES","ACCEPTED","none","Goiás",2014,4,12,"2014-04-12T00:00:00","2018-07-08T01:32:02.047+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","UB - Herbário da Universidade de Brasília","BRA:UnB:UB:0000202339","8188","UB - Herbário da Universidade de Brasília","Paraúna","","pt","UB",1213658813,"BRA:UnB:UB:0000202339","Collection","","Munhoz, CBR; Turma de Vegetação do Cerrado","202339","UnB","Universidade de Brasília (UnB)","Árvore, 8 metros, flores amareladas; Floresta estacional semidecidual","Pereira-Silva, G",673,0,"","","SOUTH_AMERICA","","","",NA,"","","","",NA,"",NA,"",NA,"","","","","","","","","","","","",NA,"","","","Paraúna","Goiás","brazil",2899,"Paraúna",5216403,-50.638058,-17.046597,"GOIAS","GO","Goiás",-49.62349059,-16.04162242,"Goiás","go",-17.172778,-50.834444,"original coordinates","original coordinates OK"
"13","Byrsonima laxiflora",1098942820,-15.970833,-47.799722,"gass84","fce21d43-c0c7-4d1f-b6d2-fc048f053456","22524448-c309-474f-8f07-d576a021868c","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-14T17:16:07.199+0000","2018-09-10T18:28:51.240+0000",135,"none","PRESERVED_SPECIMEN",NA,7285610,6,7707728,220,1414,6676,3191347,7285610,7285610,"Byrsonima laxiflora Griseb.","Byrsonima laxiflora Griseb.","Plantae","Tracheophyta","Malpighiales","Malpighiaceae","Byrsonima","Byrsonima laxiflora","Byrsonima","laxiflora","SPECIES","ACCEPTED","2014-11-06T00:00:00","Distrito Federal",2014,11,6,"2014-11-06T00:00:00","2018-09-10T18:28:51.398+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HEPH - Herbário Ezechias Paulo Heringer","BRA:JBB:HEPH:0000030789","353","HEPH - Herbário Ezechias Paulo Heringer","Brasília","DF-140, Sítio particular da Sra Aline Bierri","pt","HEPH",1098942820,"BRA:JBB:HEPH:0000030789","Collection","","Soares, ACA; et al.","30789","Jardim Botânico de Brasília (JBB)","Jardim Botânico de Brasília (JBB)","Árvore, flor amarela; Borda de mata de galeria","Oliveira, MS",979,0,"","","SOUTH_AMERICA","","","",NA,"","","","",NA,"",NA,"",NA,"","","","","","","","","","","","",NA,"","","","Brasília","Distrito Federal","brazil",3101,"Brasília",5300108,-47.797394,-15.780212,"DISTRITO FEDERAL","DF","Distrito Federal",-47.79774208,-15.78050687,"Distrito Federal","df",-15.970833,-47.799722,"original coordinates","original coordinates OK"
"14","Byrsonima laxiflora",1087387339,-18.716667,-47.333333,"gass84","17efa320-7312-4b55-bf0a-a4cfc4613169","2437c128-bf8c-4f53-b668-da95fb2e40b7","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T12:35:43.720+0000","2018-09-25T13:57:11.780+0000",120,"none","PRESERVED_SPECIMEN",NA,7285610,6,7707728,220,1414,6676,3191347,7285610,7285610,"Byrsonima laxiflora Griseb.","Byrsonima laxiflora Griseb.","Plantae","Tracheophyta","Malpighiales","Malpighiaceae","Byrsonima","Byrsonima laxiflora","Byrsonima","laxiflora","SPECIES","ACCEPTED","2014-10-01T00:00:00","Minas Gerais",2013,1,20,"2013-01-20T00:00:00","2018-12-08T13:04:29.613+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","SP - Herbário do Estado ""Maria Eneyda P. Kaufmann Fidalgo"" - Coleção de Fanerógamas","BRA:IBt:SP:0000468636","7902","SP - Herbário do Estado ""Maria Eneyda P. Kaufmann Fidalgo"" - Coleção de Fanerógamas","Coromandel","Poço Verde (Lago Verde). Ca. 3 km da cidade, saída para Guarda-Mor na BR-352","pt","SP",1087387339,"BRA:IBt:SP:0000468636","Collection","","Aparecida da Silva, M; Fonseca, CLS; Marques, RNS","468636","Instituto de Botânica, IBT","Instituto de Botânica, IBT","","Mamede, MCH",856,0,"2018-09-10T11:12:08.000+0000","","","","","",NA,"","","","",NA,"",NA,"",NA,"","","","","","","","","","","","",NA,"","","","Coromandel","Minas Gerais","brazil",2739,"Coromandel",3119302,-47.136945,-18.412845,"MINAS GERAIS","MG","Minas Gerais",-44.67333254,-18.45539008,"Minas Gerais","mg",-18.716667,-47.333333,"original coordinates","original coordinates outside municipality original in coromandel falls in monte carmelo"
"15","Byrsonima laxiflora",1095262768,-15.748333,-47.585277,"gass84","e38d4c95-3a1d-4594-9ae9-883b48042e6d","7ef169f9-81f8-46a2-a7f7-240df6a1889c","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T18:21:36.301+0000","2018-11-23T18:21:36.388+0000",123,"none","PRESERVED_SPECIMEN",1,7285610,6,7707728,220,1414,6676,3191347,7285610,7285610,"Byrsonima laxiflora Griseb.","Byrsonima laxiflora Griseb.","Plantae","Tracheophyta","Malpighiales","Malpighiaceae","Byrsonima","Byrsonima laxiflora","Byrsonima","laxiflora","SPECIES","ACCEPTED","none","Distrito Federal",2013,4,2,"2013-04-02T00:00:00","2018-11-23T18:22:51.711+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","CEN - Herbário da Embrapa Recursos Genéticos e Biotecnologia","BRA:Cenargen:CEN:0000087702","730","CEN - Herbário da Embrapa Recursos Genéticos e Biotecnologia","BRASILIA","Planaltina - Sítio do Sr. Cupertino.","pt","CEN",1095262768,"BRA:Cenargen:CEN:0000087702","Collection","Unicata","Araci Molnar Alonso","87702","Cenargen","Empresa Brasileira de Pesquisa Agropecuária (EMBRAPA)","Coletada na borda. Ramo com frutos. Doação CPAC.","",NA,NA,"","","","","","",NA,"","","","",NA,"",NA,"",NA,"","","","","","","","","","","","",NA,"","","","BRASILIA","Distrito Federal","brazil",3101,"Brasília",5300108,-47.797394,-15.780212,"DISTRITO FEDERAL","DF","Distrito Federal",-47.79774208,-15.78050687,"Distrito Federal","df",-15.748333,-47.585277,"original coordinates","original coordinates OK"
