"","name","key","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","networkKeys","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","extensions","basisOfRecord","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","scientificName","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","dateIdentified","elevation","elevationAccuracy","stateProvince.original","year","month","day","eventDate","modified","lastInterpreted","license","identifiers","facts","relations","geodeticDatum","class","countryCode","country.original","rightsHolder","identifier","recordNumber","datasetName","municipality.original","locality","language","collectionCode","gbifID","occurrenceID","type","recordedBy","catalogNumber","institutionCode","ownerInstitutionCode","occurrenceRemarks","continent","identifiedBy","individualCount","preparations","otherCatalogNumbers","fieldNotes","identificationQualifier","nomenclaturalStatus","nomenclaturalCode","taxonID","bibliographicCitation","collectionID","references","habitat","institutionID","verbatimEventDate","endDayOfYear","county","startDayOfYear","verbatimElevation","coordinateUncertaintyInMeters","georeferenceProtocol","georeferenceSources","identificationRemarks","typeStatus","higherGeography","organismID","datasetID","accessRights","higherClassification","typifiedName","municipality","stateProvince","country","FID","NOME","GEOCODIGO","POINT_X","POINT_Y","NOMEUF","SIGLAUF","estados_shp","x_estado","y_estado","nome","sigla","new_Lat","new_Lon","notes","comments"
"1","Campomanesia velutina",1806847221,-18.13325,-53.688528,"gass84","ec20771d-5c61-409f-825c-3eea4118c437","658207e3-b01f-4007-b14d-64b13022cd5a","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-27T09:39:31.564+0000","2018-02-15T04:31:35.252+0000",126,"none","PRESERVED_SPECIMEN",3180967,6,7707728,220,690,5014,3180879,3180967,3180967,"Campomanesia velutina (Cambessèdes) Berg","Campomanesia velutina (Cambessèdes) Berg","Plantae","Tracheophyta","Myrtales","Myrtaceae","Campomanesia","Campomanesia velutina","Campomanesia","velutina","SPECIES","ACCEPTED","2017-10-20T00:00:00",556,0,"Mato Grosso do Sul",2017,10,20,"2017-10-20T00:00:00","2017-12-29T18:56:10.000+0000","2018-12-10T04:45:37.028+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul","BRA:UFMS:CGMS:0000065234","11","CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul","Alcinópolis","Monumento Natural Serra do Bom Jardim. Trilha do queixada.","pt","CGMS",1806847221,"BRA:UFMS:CGMS:0000065234","Collection","D.R. Fonseca","65234","Fundação Universidade Federal de Mato Grosso do Sul (UFMS)","Fundação Universidade Federal de Mato Grosso do Sul (UFMS)","HABITAT:Floresta estacional semidecidual. Solo arenoso com serrapilheira. Relevo plano.; HABITO:Arbusto. 2,00 m de altura.;","","",NA,"","","",NA,"","",NA,"","","","","","",NA,"",NA,"",NA,"","","","","",NA,"","","",NA,"Alcinópolis","Mato Grosso do Sul","brazil",2768,"Alcinópolis",5000252,-53.749429,-18.209129,"MATO GROSSO DO SUL","MS","Mato Grosso do Sul",-54.84600034,-20.32777902,"Mato Grosso do Sul","ms",-18.13325,-53.688528,"original coordinates","original coordinates OK"
"2","Campomanesia velutina",1835179227,-8.416667,-42.333333,"gass84","2e684fd6-09e2-4661-910a-0a188b610c04","60545be9-4f28-4245-b4b4-07635c8dfa54","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-14T17:20:04.689+0000","2018-09-10T18:27:56.848+0000",124,"none","PRESERVED_SPECIMEN",3180967,6,7707728,220,690,5014,3180879,3180967,3180967,"Campomanesia velutina (Cambessèdes) Berg","Campomanesia velutina (Cambessèdes) Berg","Plantae","Tracheophyta","Myrtales","Myrtaceae","Campomanesia","Campomanesia velutina","Campomanesia","velutina","SPECIES","ACCEPTED","none",NA,NA,"Piauí",2017,12,8,"2017-12-08T00:00:00","","2018-09-10T18:28:21.601+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HUEFS - Herbario da Universidade Estadual de Feira de Santana","BRA:UEFS:HUEFS:0000238830","238","HUEFS - Herbario da Universidade Estadual de Feira de Santana","São Raimundo Nonato","Parque Nacional Serra da Capivara","pt","HUEFS",1835179227,"BRA:UEFS:HUEFS:0000238830","Collection","Rodrigues, P.","238830","UEFS","Universidade Estadual de Feira de Santana (UEFS)","Caatinga","","",NA,"","","",NA,"","",NA,"","","","","","",NA,"",NA,"",NA,"","","","","",NA,"","","",NA,"São Raimundo Nonato","Piauí","brazil",4095,"São Raimundo Nonato",2210607,-42.715282,-8.96647,"PIAUI","PI","Piauí",-42.9686162,-7.38798322,"Piauí","pi",-8.416667,-42.333333,"original coordinates","original coordinates outside municipality original in sao raimundo nonato falls in joao costa"
"3","Campomanesia velutina",1303206427,-3.187333,-39.419494,"gass84","ca7f81ae-ebf9-43a8-947c-535a87fe5aec","4d653db1-17d5-4565-99a5-d88643e240ce","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T18:20:34.184+0000","2018-09-24T19:20:46.585+0000",128,"none","PRESERVED_SPECIMEN",3180967,6,7707728,220,690,5014,3180879,3180967,3180967,"Campomanesia velutina (Cambessèdes) Berg","Campomanesia velutina (Cambessèdes) Berg","Plantae","Tracheophyta","Myrtales","Myrtaceae","Campomanesia","Campomanesia velutina","Campomanesia","velutina","SPECIES","ACCEPTED","none",NA,NA,"Ceará",2016,1,16,"2016-01-16T00:00:00","2018-08-13T19:47:11.000+0000","2018-12-07T20:18:42.320+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","EAC - Herbário Prisco Bezerra","BRA:UFC:EAC:0000059491","s.n.","EAC - Herbário Prisco Bezerra","Itapipoca","Barra do Mundaú, terra indígena Tremembé.","pt","EAC",1303206427,"BRA:UFC:EAC:0000059491","Collection","Pinto, A.L.A.","59491","Universidade Federal do Ceará, UFC","Universidade Federal do Ceará, UFC","Mestrado em sociobiodiversidade e tecnologias sustentáveis - UNILAB; Flores brancas.","SOUTH_AMERICA","Costa, I.R.; Bünger, M.",NA,"","","",NA,"","",NA,"","","","","","",NA,"",NA,"",NA,"","","","","",NA,"","","",NA,"Itapipoca","Ceará","brazil",5316,"Itapipoca",2306405,-39.599042,-3.396493,"CEARA","CE","Ceará",-39.61556123,-5.09311398,"Ceará","ce",-3.187333,-39.419494,"original coordinates","original coordinates OK"
"4","Campomanesia velutina",1944854714,-17.829166,-47.703888,"gass84","e38d4c95-3a1d-4594-9ae9-883b48042e6d","7ef169f9-81f8-46a2-a7f7-240df6a1889c","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T18:21:45.099+0000","2018-11-23T18:21:45.127+0000",123,"none","PRESERVED_SPECIMEN",3180967,6,7707728,220,690,5014,3180879,3180967,3180967,"Campomanesia velutina (Cambessèdes) Berg","Campomanesia velutina (Cambessèdes) Berg","Plantae","Tracheophyta","Myrtales","Myrtaceae","Campomanesia","Campomanesia velutina","Campomanesia","velutina","SPECIES","ACCEPTED","none",764,0,"Goiás",2015,9,15,"2015-09-15T00:00:00","","2018-11-23T18:23:03.640+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","CEN - Herbário da Embrapa Recursos Genéticos e Biotecnologia","BRA:Cenargen:CEN:0000105177","462","CEN - Herbário da Embrapa Recursos Genéticos e Biotecnologia","CAMPO ALEGRE DE GOIAS","APP Serra do Facão. Parcelas do experimento de restauração.","pt","CEN",1944854714,"BRA:Cenargen:CEN:0000105177","Collection","Gustavo Paiva Evangelista Rocha","105177","Cenargen","Empresa Brasileira de Pesquisa Agropecuária (EMBRAPA)","","","G. P. E. Rocha",1,"Unicata","","",NA,"","",NA,"","","","","","",NA,"",NA,"",NA,"","","","","",NA,"","","",NA,"CAMPO ALEGRE DE GOIAS","Goiás","brazil",2840,"Campo Alegre de Goiás",5204805,-47.767789,-17.553406,"GOIAS","GO","Goiás",-49.62349059,-16.04162242,"Goiás","go",-17.829166,-47.703888,"original coordinates","original coordinates OK"
"5","Campomanesia velutina",1264707573,-14.198333,-49.292222,"gass84","d82d5a18-0428-4e52-be16-f509153e8126","e97090cb-7731-41c7-ac24-31a841730654","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-14T17:19:43.395+0000","2018-01-05T18:35:05.067+0000",114,"none","PRESERVED_SPECIMEN",3180967,6,7707728,220,690,5014,3180879,3180967,3180967,"Campomanesia velutina (Cambessèdes) Berg","Campomanesia velutina (Cambessèdes) Berg","Plantae","Tracheophyta","Myrtales","Myrtaceae","Campomanesia","Campomanesia velutina","Campomanesia","velutina","SPECIES","ACCEPTED","2015-09-01T00:00:00",404,0,"Goiás",2015,9,25,"2015-09-25T00:00:00","2016-09-19T19:10:56.000+0000","2018-12-08T13:34:58.686+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","UB - Herbário da Universidade de Brasília","BRA:UnB:UB:0000215789","5120","UB - Herbário da Universidade de Brasília","Alto Horizonte","Região da Sururuca, fazenda Cajás, proprietário senhor Jair Eustáquio","pt","UB",1264707573,"BRA:UnB:UB:0000215789","Collection","Faria, JEQ","215789","UnB","Universidade de Brasília (UnB)","Arvoreta ca. 4 m de altura, botões florais verdes e flores brancas; Cerradão","SOUTH_AMERICA","Faria, JEQ",NA,"","","",NA,"","",NA,"","","","","","",NA,"",NA,"",NA,"","","","","",NA,"","","",NA,"Alto Horizonte","Goiás","brazil",3325,"Alto Horizonte",5200555,-49.428812,-14.170302,"GOIAS","GO","Goiás",-49.62349059,-16.04162242,"Goiás","go",-14.198333,-49.292222,"original coordinates","original coordinates OK"
"6","Campomanesia velutina",1423919077,-15.796944,-48.826389,"cdround,gass84","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","none","da7fe11a-b42c-46cb-9e9d-02243edb738a","BR","DWC_ARCHIVE","2018-10-02T15:35:14.844+0000","2018-09-24T19:57:58.081+0000",207,"none","PRESERVED_SPECIMEN",3180967,6,7707728,220,690,5014,3180879,3180967,3180967,"Campomanesia velutina (Cambessèdes) Berg","Campomanesia velutina (Cambessèdes) Berg","Plantae","Tracheophyta","Myrtales","Myrtaceae","Campomanesia","Campomanesia velutina","Campomanesia","velutina","SPECIES","ACCEPTED","none",NA,NA,"Goiás",2014,10,5,"2014-10-05T00:00:00","2016-07-20T10:53:50.579+0000","2018-12-06T16:55:30.418+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","Rio de Janeiro Botanical Garden","urn:catalog:JBRJ:RB:1148437","4139","RB - Rio de Janeiro Botanical Garden Herbarium Collection","Cocalzinho de Goiás","parque Estadual do Pireneus, próximo aos Três Picos pela estrada, entrada por Cocalzinho de Goiás.","","RB",1423919077,"urn:catalog:JBRJ:RB:1148437","PhysicalObject","J.E.Q. Faria","RB01148437","JBRJ","","","","J.E.Q. Faria",NA,"","RB 655637","Borda de mata de galeria.",NA,"","",NA,"","","","","","",NA,"",NA,"",NA,"","","","","",NA,"","","",NA,"Cocalzinho de Goiás","Goiás","brazil",3126,"Cocalzinho de Goiás",5205513,-48.602666,-15.655516,"GOIAS","GO","Goiás",-49.62349059,-16.04162242,"Goiás","go",-15.796944,-48.826389,"original coordinates","original coordinates OK"
"7","Campomanesia velutina",1094915472,-7.548611,-39.319722,"gass84,iddatunl","2e684fd6-09e2-4661-910a-0a188b610c04","60545be9-4f28-4245-b4b4-07635c8dfa54","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-14T17:19:49.602+0000","2018-09-10T18:27:32.969+0000",124,"none","PRESERVED_SPECIMEN",3180967,6,7707728,220,690,5014,3180879,3180967,3180967,"Campomanesia velutina (Cambessèdes) Berg","Campomanesia velutina (Cambessèdes) Berg","Plantae","Tracheophyta","Myrtales","Myrtaceae","Campomanesia","Campomanesia velutina","Campomanesia","velutina","SPECIES","ACCEPTED","2017-10-01T00:00:00",868,0,"Pernambuco",2013,1,22,"2013-01-22T00:00:00","","2018-09-10T18:27:59.968+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HUEFS - Herbario da Universidade Estadual de Feira de Santana","BRA:UEFS:HUEFS:0000198890","2222","HUEFS - Herbario da Universidade Estadual de Feira de Santana","Serrita","Serra do Gravatá.","pt","HUEFS",1094915472,"BRA:UEFS:HUEFS:0000198890","Collection","Oliveira, A.C.P.","198890","UEFS","Universidade Estadual de Feira de Santana (UEFS)","Caatinga.","","M.Ibrahim",NA,"","","",NA,"","",NA,"","","","","","",NA,"",NA,"",NA,"","","","","",NA,"","","",NA,"Serrita","Pernambuco","brazil",4305,"Serrita",2614006,-39.382268,-7.850088,"PERNAMBUCO","PE","Pernambuco",-37.99303622,-8.3240949,"Pernambuco","pe",-7.548611,-39.319722,"original coordinates","original coordinates outside municipality original in serrita falls in jardim"
"8","Campomanesia velutina",1424474407,-5.315556,-43.873056,"cdround,gass84","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","none","da7fe11a-b42c-46cb-9e9d-02243edb738a","BR","DWC_ARCHIVE","2018-10-02T15:42:43.825+0000","2018-09-24T20:03:57.311+0000",207,"none","PRESERVED_SPECIMEN",3180967,6,7707728,220,690,5014,3180879,3180967,3180967,"Campomanesia velutina (Cambessèdes) Berg","Campomanesia velutina (Cambessèdes) Berg","Plantae","Tracheophyta","Myrtales","Myrtaceae","Campomanesia","Campomanesia velutina","Campomanesia","velutina","SPECIES","ACCEPTED","2014-01-20T00:00:00",NA,NA,"Maranhão",2013,10,18,"2013-10-18T00:00:00","2015-09-10T08:59:27.467+0000","2018-12-06T17:00:43.846+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","Rio de Janeiro Botanical Garden","urn:catalog:JBRJ:RB:837963","930","RB - Rio de Janeiro Botanical Garden Herbarium Collection","Senador Alexandre Costa","Parcela P7 referente aos estudos para o EIA da LT Presidente Dutra - Teresina II - Sobral III.","","RB",1424474407,"urn:catalog:JBRJ:RB:837963","PhysicalObject","E.M. Saddi; Pedro Samor, Pablo Gomes & Rafael Bruno","RB00837963","JBRJ","","Árvore com cerca de 5 metros de altura. Flores com cálice verde e pétalas alvas.","","Marcelo Souza",NA,"","RB 593414","",NA,"","",NA,"","","","","","",NA,"",NA,"",NA,"","","","","",NA,"","","",NA,"Senador Alexandre Costa","Maranhão","brazil",5034,"Senador Alexandre Costa",2111748,-43.984901,-5.261298,"MARANHAO","MA","Maranhão",-45.28117854,-5.05609075,"Maranhão","ma",-5.315556,-43.873056,"original coordinates","original coordinates OK"
"9","Campomanesia velutina",1213636216,-17.769167,-50.105278,"gass84,iddatunl","d82d5a18-0428-4e52-be16-f509153e8126","e97090cb-7731-41c7-ac24-31a841730654","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-14T17:19:21.297+0000","2018-01-05T18:34:49.148+0000",114,"none","PRESERVED_SPECIMEN",3180967,6,7707728,220,690,5014,3180879,3180967,3180967,"Campomanesia velutina (Cambessèdes) Berg","Campomanesia velutina (Cambessèdes) Berg","Plantae","Tracheophyta","Myrtales","Myrtaceae","Campomanesia","Campomanesia velutina","Campomanesia","velutina","SPECIES","ACCEPTED","2012-04-01T00:00:00",491,0,"Goiás",2012,3,27,"2012-03-27T00:00:00","","2018-07-08T01:32:06.309+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","UB - Herbário da Universidade de Brasília","BRA:UnB:UB:0000179712","4125","UB - Herbário da Universidade de Brasília","Edéia","Usina Tropical, entre os Municípios de Edéia e Porteirão. Reserva legal da Fazenda Canadá","pt","UB",1213636216,"BRA:UnB:UB:0000179712","Collection","Proença, CEB; Harris, SA; Caires, CS; Mendes, VC","179712","UnB","Universidade de Brasília (UnB)","Convênio UnB/Oxford; Arbusto 2,5m. Estéril; Interior da mata ciliar","SOUTH_AMERICA","Proença, CEB",NA,"","","",NA,"","",NA,"","","","","","",NA,"",NA,"",NA,"","","","","",NA,"","","",NA,"Edéia","Goiás","brazil",2849,"Edéia",5207402,-49.964157,-17.476863,"GOIAS","GO","Goiás",-49.62349059,-16.04162242,"Goiás","go",-17.769167,-50.105278,"original coordinates","original coordinates OK"
"10","Campomanesia velutina",1213668058,-17.405,-50.0534,"gass84,iddatunl","d82d5a18-0428-4e52-be16-f509153e8126","e97090cb-7731-41c7-ac24-31a841730654","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-14T17:19:41.071+0000","2018-01-05T18:35:03.522+0000",114,"none","PRESERVED_SPECIMEN",3180967,6,7707728,220,690,5014,3180879,3180967,3180967,"Campomanesia velutina (Cambessèdes) Berg","Campomanesia velutina (Cambessèdes) Berg","Plantae","Tracheophyta","Myrtales","Myrtaceae","Campomanesia","Campomanesia velutina","Campomanesia","velutina","SPECIES","ACCEPTED","2012-01-01T00:00:00",454,0,"Goiás",2012,7,30,"2012-07-30T00:00:00","","2018-07-08T01:32:06.310+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","UB - Herbário da Universidade de Brasília","BRA:UnB:UB:0000211756","MSFCBA19","UB - Herbário da Universidade de Brasília","Edéia","Fazenda Canadá (MSFCBA)","pt","UB",1213668058,"BRA:UnB:UB:0000211756","Collection","Projeto Biodiversidade BP; Faria, JEQ; Melo, MS; Concha, C; Arcela, V; Harris, SA","211756","UnB","Universidade de Brasília (UnB)","Foto (exsicata); Arbusto, 1m; Mata seca. Solo argiloso, marrom com pequenas rochas","SOUTH_AMERICA","Proença, CEB",NA,"","","",NA,"","",NA,"","","","","","",NA,"",NA,"",NA,"","","","","",NA,"","","",NA,"Edéia","Goiás","brazil",2849,"Edéia",5207402,-49.964157,-17.476863,"GOIAS","GO","Goiás",-49.62349059,-16.04162242,"Goiás","go",-17.405,-50.0534,"original coordinates","original coordinates OK"
"11","Campomanesia velutina",1213667962,-17.7861,-50.1004,"gass84,iddatunl","d82d5a18-0428-4e52-be16-f509153e8126","e97090cb-7731-41c7-ac24-31a841730654","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-14T17:19:41.003+0000","2018-01-05T18:35:03.432+0000",114,"none","PRESERVED_SPECIMEN",3180967,6,7707728,220,690,5014,3180879,3180967,3180967,"Campomanesia velutina (Cambessèdes) Berg","Campomanesia velutina (Cambessèdes) Berg","Plantae","Tracheophyta","Myrtales","Myrtaceae","Campomanesia","Campomanesia velutina","Campomanesia","velutina","SPECIES","ACCEPTED","2014-01-01T00:00:00",490,0,"Goiás",2012,8,16,"2012-08-16T00:00:00","","2018-07-08T01:32:06.248+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","UB - Herbário da Universidade de Brasília","BRA:UnB:UB:0000211595","MCFPAA102","UB - Herbário da Universidade de Brasília","Edéia","Rio dos Bois, Fazenda Tupi (MCFPAA)","pt","UB",1213667962,"BRA:UnB:UB:0000211595","Collection","Projeto Biodiversidade BP; Proença, CEB; Reis, PA; Concha, C; Mello, TRB; Mendes, VC","211595","UnB","Universidade de Brasília (UnB)","Árvore. Tronco acanalado, ritidoma esfoliante e tiras fibrosas; Mata seca próximo à mata ciliar. Latossolo pedregoso","SOUTH_AMERICA","Faria, JEQ",NA,"","","",NA,"","",NA,"","","","","","",NA,"",NA,"",NA,"","","","","",NA,"","","",NA,"Edéia","Goiás","brazil",2849,"Edéia",5207402,-49.964157,-17.476863,"GOIAS","GO","Goiás",-49.62349059,-16.04162242,"Goiás","go",-17.7861,-50.1004,"original coordinates","original coordinates OK"
"12","Campomanesia velutina",1213668294,-17.7044,-50.0805,"gass84,iddatunl","d82d5a18-0428-4e52-be16-f509153e8126","e97090cb-7731-41c7-ac24-31a841730654","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-14T17:19:41.175+0000","2018-01-05T18:35:03.579+0000",114,"none","PRESERVED_SPECIMEN",3180967,6,7707728,220,690,5014,3180879,3180967,3180967,"Campomanesia velutina (Cambessèdes) Berg","Campomanesia velutina (Cambessèdes) Berg","Plantae","Tracheophyta","Myrtales","Myrtaceae","Campomanesia","Campomanesia velutina","Campomanesia","velutina","SPECIES","ACCEPTED","2012-01-01T00:00:00",481,0,"Goiás",2012,8,15,"2012-08-15T00:00:00","","2018-07-08T01:32:06.285+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","UB - Herbário da Universidade de Brasília","BRA:UnB:UB:0000211970","MVFCBG45","UB - Herbário da Universidade de Brasília","Edéia","Fazenda Canadá (MVFCBG)","pt","UB",1213668294,"BRA:UnB:UB:0000211970","Collection","Projeto Biodiversidade BP; Faria, JEQ; Rosa, PO; Izetti, C; Mendes, VC; Oku, W","211970","UnB","Universidade de Brasília (UnB)","Árvore, 6m; Ilha de mata no meio da vereda. Solo argiloso, com rochas (canga)","SOUTH_AMERICA","Villarroel, D",NA,"","","",NA,"","",NA,"","","","","","",NA,"",NA,"",NA,"","","","","",NA,"","","",NA,"Edéia","Goiás","brazil",2849,"Edéia",5207402,-49.964157,-17.476863,"GOIAS","GO","Goiás",-49.62349059,-16.04162242,"Goiás","go",-17.7044,-50.0805,"original coordinates","original coordinates OK"
"13","Campomanesia velutina",1676476309,-15.979167,-47.493611,"gass84","965b5ae5-7b2d-4155-a7ff-e9e496d70f90","605d693a-f335-44fb-b6cf-3ac49842358e","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T12:22:33.922+0000","2017-12-29T14:53:18.154+0000",129,"none","PRESERVED_SPECIMEN",3180967,6,7707728,220,690,5014,3180879,3180967,3180967,"Campomanesia velutina (Cambessèdes) Berg","Campomanesia velutina (Cambessèdes) Berg","Plantae","Tracheophyta","Myrtales","Myrtaceae","Campomanesia","Campomanesia velutina","Campomanesia","velutina","SPECIES","ACCEPTED","2013-01-01T00:00:00",9999,0,"Distrito Federal",2012,10,16,"2012-10-16T00:00:00","2017-10-04T12:58:18.000+0000","2018-12-10T07:36:51.961+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HUTO - Herbário da Universidade de Tocantins","BRA:UNITINS:HUTO:0000006751","379","HUTO - Herbário da Universidade de Tocantins","Brasília","Fazenda Malunga","pt","HUTO",1676476309,"BRA:UNITINS:HUTO:0000006751","Collection","Texeira, B.R.","6751","UNITINS","Fundação Universidade de Tocantins (UNITINS)","Árvore com 5 m de altura. Flor verde clara.; Mata de galeria trecho não inundável (meio). Solo argiloso com muita serrapilheira. Relevo levemente ondulado.","","Texeira, B.R.",NA,"","","",NA,"","",NA,"","","","","","",NA,"",NA,"",NA,"","","","","",NA,"","","",NA,"Brasília","Distrito Federal","brazil",3101,"Brasília",5300108,-47.797394,-15.780212,"DISTRITO FEDERAL","DF","Distrito Federal",-47.79774208,-15.78050687,"Distrito Federal","df",-15.979167,-47.493611,"original coordinates","original coordinates OK"
"14","Campomanesia velutina",1265926576,-15.950555,-48.123611,"gass84","e38d4c95-3a1d-4594-9ae9-883b48042e6d","7ef169f9-81f8-46a2-a7f7-240df6a1889c","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T18:21:37.074+0000","2018-11-23T18:21:37.192+0000",123,"none","PRESERVED_SPECIMEN",3180967,6,7707728,220,690,5014,3180879,3180967,3180967,"Campomanesia velutina (Cambessèdes) Berg","Campomanesia velutina (Cambessèdes) Berg","Plantae","Tracheophyta","Myrtales","Myrtaceae","Campomanesia","Campomanesia velutina","Campomanesia","velutina","SPECIES","ACCEPTED","none",NA,NA,"Distrito Federal",2012,10,1,"2012-10-01T00:00:00","","2018-11-23T18:22:52.825+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","CEN - Herbário da Embrapa Recursos Genéticos e Biotecnologia","BRA:Cenargen:CEN:0000089568","222","CEN - Herbário da Embrapa Recursos Genéticos e Biotecnologia","BRASILIA","EMBRAPA - CTZL.","pt","CEN",1265926576,"BRA:Cenargen:CEN:0000089568","Collection","Alba Cordeiro","89568","Cenargen","Empresa Brasileira de Pesquisa Agropecuária (EMBRAPA)","Doação CPAC - CTZL.","","J. E. Q. Faria Júnior",1,"Exsicatas","","",NA,"","",NA,"","","","","","",NA,"",NA,"",NA,"","","","","",NA,"","","",NA,"BRASILIA","Distrito Federal","brazil",3101,"Brasília",5300108,-47.797394,-15.780212,"DISTRITO FEDERAL","DF","Distrito Federal",-47.79774208,-15.78050687,"Distrito Federal","df",-15.950555,-48.123611,"original coordinates","original coordinates OK"
"15","Campomanesia velutina",1213668938,-17.7331,-50.0942,"gass84,iddatunl","d82d5a18-0428-4e52-be16-f509153e8126","e97090cb-7731-41c7-ac24-31a841730654","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-14T17:19:41.584+0000","2018-01-05T18:35:03.915+0000",114,"none","PRESERVED_SPECIMEN",3180967,6,7707728,220,690,5014,3180879,3180967,3180967,"Campomanesia velutina (Cambessèdes) Berg","Campomanesia velutina (Cambessèdes) Berg","Plantae","Tracheophyta","Myrtales","Myrtaceae","Campomanesia","Campomanesia velutina","Campomanesia","velutina","SPECIES","ACCEPTED","2015-01-01T00:00:00",512,0,"Goiás",2012,10,5,"2012-10-05T00:00:00","","2018-07-08T01:32:06.302+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","UB - Herbário da Universidade de Brasília","BRA:UnB:UB:0000212776","RE839","UB - Herbário da Universidade de Brasília","Edéia","Fazenda Canadá (MCFCEA)","pt","UB",1213668938,"BRA:UnB:UB:0000212776","Collection","Projeto Biodiversidade BP; Faria, JEQ; Zanatta, MRV; Castro, BM","212776","UnB","Universidade de Brasília (UnB)","Árvore, 3,5m; Mata ciliar. Solo argiloso-arenoso","SOUTH_AMERICA","Faria, JEQ",NA,"","","",NA,"","",NA,"","","","","","",NA,"",NA,"",NA,"","","","","",NA,"","","",NA,"Edéia","Goiás","brazil",2849,"Edéia",5207402,-49.964157,-17.476863,"GOIAS","GO","Goiás",-49.62349059,-16.04162242,"Goiás","go",-17.7331,-50.0942,"original coordinates","original coordinates OK"
