"","name","key","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","networkKeys","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","extensions","basisOfRecord","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","scientificName","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","dateIdentified","elevation","elevationAccuracy","continent","stateProvince.original","year","month","day","eventDate","lastInterpreted","license","identifiers","facts","relations","geodeticDatum","class","countryCode","country.original","rightsHolder","identifier","recordNumber","datasetName","municipality.original","locality","language","collectionCode","gbifID","occurrenceID","type","recordedBy","catalogNumber","institutionCode","ownerInstitutionCode","occurrenceRemarks","identifiedBy","modified","otherCatalogNumbers","fieldNotes","references","habitat","nomenclaturalCode","institutionID","verbatimEventDate","endDayOfYear","county","preparations","startDayOfYear","collectionID","georeferenceSources","individualCount","higherGeography","higherClassification","nomenclaturalStatus","taxonID","bibliographicCitation","verbatimElevation","georeferencedDate","georeferenceProtocol","locationRemarks","coordinateUncertaintyInMeters","identificationRemarks","typeStatus","organismID","datasetID","accessRights","dynamicProperties","fieldNumber","municipality","stateProvince","country","FID","NOME","GEOCODIGO","POINT_X","POINT_Y","NOMEUF","SIGLAUF","estados_shp","x_estado","y_estado","nome","sigla","new_Lat","new_Lon","notes","comments"
"1","Cupania impressinervia",1889167753,-7.017222,-35.686111,"gass84","f45c5ee0-e5ec-42e3-a80a-07318144efa4","202d5f34-ff58-4ad7-964f-c947ce18078e","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T15:41:06.393+0000","2018-09-24T16:38:58.082+0000",130,"none","PRESERVED_SPECIMEN",3785438,6,7707728,220,933,6657,3189959,3785438,3785438,"Cupania impressinervia Acev.-Rodr.","Cupania impressinervia Acev.-Rodr.","Plantae","Tracheophyta","Sapindales","Sapindaceae","Cupania","Cupania impressinervia","Cupania","impressinervia","SPECIES","ACCEPTED","2017-09-22T00:00:00",380,0,"SOUTH_AMERICA","Paraíba",2017,9,22,"2017-09-22T00:00:00","2018-09-24T16:38:58.106+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","IPA - Herbário - IPA Dárdano de Andrade Lima","BRA:IPA:IPA:0000080304","659","IPA - Herbário - IPA Dárdano de Andrade Lima","Areia","Nas proximidades do PB66E.","pt","IPA",1889167753,"BRA:IPA:IPA:0000080304","Collection","Figueira, M.; et al.; et al.","80304","IPA","Empresa Pernambucana de Pesquisa Agropecuária, IPA","Conglomerado do Inventário Florestal Nacional.","Schindler, B.; Figueira, M.","","","","","","","","",NA,"","",NA,"","",NA,"","","",NA,"","","","",NA,NA,"","",NA,"","","",NA,"Areia","Paraíba","brazil",4586,"Areia",2501104,-35.703577,-6.95222,"PARAIBA","PB","Paraíba",-36.83226341,-7.12079672,"Paraíba","pb",-7.017222,-35.686111,"original coordinates","original coordinates OK"
"2","Cupania impressinervia",1840911840,-7.017222,-35.686111,"cdround,gass84","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","none","da7fe11a-b42c-46cb-9e9d-02243edb738a","BR","DWC_ARCHIVE","2018-10-02T15:37:22.585+0000","2018-09-24T19:59:03.690+0000",207,"none","PRESERVED_SPECIMEN",3785438,6,7707728,220,933,6657,3189959,3785438,3785438,"Cupania impressinervia Acev.-Rodr.","Cupania impressinervia Acev.-Rodr.","Plantae","Tracheophyta","Sapindales","Sapindaceae","Cupania","Cupania impressinervia","Cupania","impressinervia","SPECIES","ACCEPTED","2017-09-22T00:00:00",NA,NA,"","Paraíba",2017,9,22,"2017-09-22T00:00:00","2018-12-08T19:50:28.490+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","Rio de Janeiro Botanical Garden","urn:catalog:JBRJ:RB:1385460","IFN659","RB - Rio de Janeiro Botanical Garden Herbarium Collection","Areia","Nas proximidades do PB66E (conglomerado do Inventário Florestal Nacional). Beira de estrada","","RB",1840911840,"urn:catalog:JBRJ:RB:1385460","PhysicalObject","M.Figueira; B.Schindler, R.A.Pontes e J.R.Lima","RB01385460","JBRJ","","","M.Figueira e B.Schindler","2018-04-26T14:11:26.273+0000","RB 763049","Área antropizada no Domínio Atlântico e solo compactado","","","","","",NA,"","",NA,"","",NA,"","","",NA,"","","","",NA,NA,"","",NA,"","","",NA,"Areia","Paraíba","brazil",4586,"Areia",2501104,-35.703577,-6.95222,"PARAIBA","PB","Paraíba",-36.83226341,-7.12079672,"Paraíba","pb",-7.017222,-35.686111,"original coordinates","original coordinates OK"
"3","Cupania impressinervia",1944983992,-11.796111,-37.945,"gass84","bc81e05b-ed51-46ba-a0a4-90fbae9b5545","c6aacf9d-a5a7-4d7f-a6fc-ea0a4b8ec450","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T12:34:56.033+0000","2018-11-24T12:34:56.053+0000",122,"none","PRESERVED_SPECIMEN",3785438,6,7707728,220,933,6657,3189959,3785438,3785438,"Cupania impressinervia Acev.-Rodr.","Cupania impressinervia Acev.-Rodr.","Plantae","Tracheophyta","Sapindales","Sapindaceae","Cupania","Cupania impressinervia","Cupania","impressinervia","SPECIES","ACCEPTED","none",NA,NA,"","Bahia",2016,3,10,"2016-03-10T00:00:00","2018-11-24T12:36:02.114+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","CEPEC - Herbário do Centro de Pesquisas do Cacau","BRA:CEPLAC:CEPEC:0000153885","1485","CEPEC - Herbário do Centro de Pesquisas do Cacau","esplanada","Conglomerado BA_677-1-10-4RN","pt","CEPEC",1944983992,"BRA:CEPLAC:CEPEC:0000153885","Collection","Santos, E.A.","153885","Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC)","Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC)","<ll>dwc_commonname:</ll>","C. Pessoa","","25/4/2017","","","","","","",NA,"","",NA,"","",NA,"","","",NA,"","","","",NA,NA,"","",NA,"","","",NA,"esplanada","Bahia","brazil",3609,"Esplanada",2910602,-37.88657,-11.93415,"BAHIA","BA","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-11.796111,-37.945,"original coordinates","original coordinates OK"
"4","Cupania impressinervia",1324589900,-11.0429,-37.1944,"gass84","76823beb-2f33-47a6-96a1-ccd2df47ac28","9243118c-e750-412b-91f4-ac987666eee1","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T18:47:04.476+0000","2018-09-24T19:50:17.749+0000",132,"none","PRESERVED_SPECIMEN",3785438,6,7707728,220,933,6657,3189959,3785438,3785438,"Cupania impressinervia Acev.-Rodr.","Cupania impressinervia Acev.-Rodr.","Plantae","Tracheophyta","Sapindales","Sapindaceae","Cupania","Cupania impressinervia","Cupania","impressinervia","SPECIES","ACCEPTED","2015-05-01T00:00:00",NA,NA,"SOUTH_AMERICA","Sergipe",2015,3,8,"2015-03-08T00:00:00","2018-12-06T08:55:06.956+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","ASE - Herbário da Universidade Federal de Sergipe","BRA:UFS:ASE:0000037189","509","ASE - Herbário da Universidade Federal de Sergipe","Itaporanga d'Ajuda","Mata Rio Fundo","pt","ASE",1324589900,"BRA:UFS:ASE:0000037189","Collection","Santana, JP","37189","Universidade Federal de Sergipe, UFS","Universidade Federal de Sergipe, UFS","Árvore, 7m, inflorescência amarelada. Folhas compostas, alternas. Coletada na borda da floresta. Solo arenoso.; Mata Atlântica.","Santana, JP","2018-08-31T18:31:24.000+0000","","","","","","","",NA,"","",NA,"","",NA,"","","",NA,"","","","",NA,NA,"","",NA,"","","",NA,"Itaporanga d'Ajuda","Sergipe","brazil",3733,"Itaporanga D'ajuda",2803203,-37.318178,-11.05724,"SERGIPE","SE","Sergipe",-37.44360505,-10.583842,"Sergipe","se",-11.0429,-37.1944,"original coordinates","original coordinates outside municipality original in itaporanga d'ajuda falls in sao cristovao"
"5","Cupania impressinervia",1264695903,-11.0429,-37.1944,"gass84","76823beb-2f33-47a6-96a1-ccd2df47ac28","9243118c-e750-412b-91f4-ac987666eee1","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T18:47:03.848+0000","2018-09-24T19:50:16.752+0000",132,"none","PRESERVED_SPECIMEN",3785438,6,7707728,220,933,6657,3189959,3785438,3785438,"Cupania impressinervia Acev.-Rodr.","Cupania impressinervia Acev.-Rodr.","Plantae","Tracheophyta","Sapindales","Sapindaceae","Cupania","Cupania impressinervia","Cupania","impressinervia","SPECIES","ACCEPTED","2015-12-01T00:00:00",NA,NA,"SOUTH_AMERICA","Sergipe",2015,11,7,"2015-11-07T00:00:00","2018-12-08T13:34:52.260+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","ASE - Herbário da Universidade Federal de Sergipe","BRA:UFS:ASE:0000035124","385","ASE - Herbário da Universidade Federal de Sergipe","Itaporanga d'Ajuda","Mata Rio Fundo","pt","ASE",1264695903,"BRA:UFS:ASE:0000035124","Collection","Santana, JP","35124","Universidade Federal de Sergipe, UFS","Universidade Federal de Sergipe, UFS","Árvore, 7m, frutos imaturos marrons.; Mata Atlântica.","Santana, JP","2018-08-31T18:31:24.000+0000","","","","","","","",NA,"","",NA,"","",NA,"","","",NA,"","","","",NA,NA,"","",NA,"","","",NA,"Itaporanga d'Ajuda","Sergipe","brazil",3733,"Itaporanga D'ajuda",2803203,-37.318178,-11.05724,"SERGIPE","SE","Sergipe",-37.44360505,-10.583842,"Sergipe","se",-11.0429,-37.1944,"original coordinates","original coordinates outside municipality original in itaporanga d'ajuda falls in sao cristovao"
"6","Cupania impressinervia",1275054521,-10.5259,-37.031,"gass84,preswcd","76823beb-2f33-47a6-96a1-ccd2df47ac28","9243118c-e750-412b-91f4-ac987666eee1","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T18:47:04.251+0000","2018-09-24T19:50:17.694+0000",132,"none","PRESERVED_SPECIMEN",3785438,6,7707728,220,933,6657,3189959,3785438,3785438,"Cupania impressinervia Acev.-Rodr.","Cupania impressinervia Acev.-Rodr.","Plantae","Tracheophyta","Sapindales","Sapindaceae","Cupania","Cupania impressinervia","Cupania","impressinervia","SPECIES","ACCEPTED","2016-01-20T00:00:00",55,0,"SOUTH_AMERICA","Sergipe",2015,12,21,"2015-12-21T00:00:00","2018-09-24T19:50:21.398+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","ASE - Herbário da Universidade Federal de Sergipe","BRA:UFS:ASE:0000036608","45","ASE - Herbário da Universidade Federal de Sergipe","Santo Amaro das Brotas","PA Celso Furtado, Área de reserva legal do assentamento Celso Furtado.","pt","ASE",1275054521,"BRA:UFS:ASE:0000036608","Collection","Santos Neto, AM; Souza, JO; Nunes, SS; Felix, GJ","36608","Universidade Federal de Sergipe, UFS","Universidade Federal de Sergipe, UFS","Árvore, 5 metros de altura, frutos marrons.; Mata Atlântica","Santos Neto, AM","","","","","","","","",NA,"","",NA,"","",NA,"","","",NA,"","","","",NA,NA,"","",NA,"","","",NA,"Santo Amaro das Brotas","Sergipe","brazil",3775,"Santo Amaro das Brotas",2806602,-36.979729,-10.770663,"SERGIPE","SE","Sergipe",-37.44360505,-10.583842,"Sergipe","se",-10.5259,-37.031,"original coordinates","original coordinates outside municipality original in santo amaro das brotas falls in capela"
"7","Cupania impressinervia",1087694754,-11.268611,-37.438056,"gass84","76823beb-2f33-47a6-96a1-ccd2df47ac28","9243118c-e750-412b-91f4-ac987666eee1","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T18:47:02.862+0000","2018-09-24T19:50:15.510+0000",132,"none","PRESERVED_SPECIMEN",3785438,6,7707728,220,933,6657,3189959,3785438,3785438,"Cupania impressinervia Acev.-Rodr.","Cupania impressinervia Acev.-Rodr.","Plantae","Tracheophyta","Sapindales","Sapindaceae","Cupania","Cupania impressinervia","Cupania","impressinervia","SPECIES","ACCEPTED","2014-07-07T00:00:00",NA,NA,"SOUTH_AMERICA","Sergipe",2014,3,26,"2014-03-26T00:00:00","2018-12-08T13:06:02.473+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","ASE - Herbário da Universidade Federal de Sergipe","BRA:UFS:ASE:0000032246","29","ASE - Herbário da Universidade Federal de Sergipe","Estância","Solo argiloso. Vegetação rasteira e arbórea em regeneração.","pt","ASE",1087694754,"BRA:UFS:ASE:0000032246","Collection","Tavares, MLGC","32246","Universidade Federal de Sergipe, UFS","Universidade Federal de Sergipe, UFS","Árvore com base reta, casca cinza escura, fina e áspera. Fruto imaturo, verde, seco, com 2,0 cm e em formato de pião. Coordenadas UTM: E (0670347m) N (8765880m). Nº do conglomerado: 153, Nº da subunidade: 2, Nº da subparcela: 10, Cole","Silva, TR","2018-08-31T18:31:24.000+0000","","","","","","","",NA,"","",NA,"","",NA,"","","",NA,"","","","",NA,NA,"","",NA,"","","",NA,"Estância","Sergipe","brazil",3707,"Estância",2802106,-37.398349,-11.249515,"SERGIPE","SE","Sergipe",-37.44360505,-10.583842,"Sergipe","se",-11.268611,-37.438056,"original coordinates","original coordinates OK"
"8","Cupania impressinervia",1090878886,-18.521944,-39.739167,"gass84","4d0fa690-1551-46f0-9a22-acfec0e00dd0","503e9b26-09b5-4c40-b42a-bb476319a8ad","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-14T17:17:07.298+0000","2018-10-09T15:49:00.432+0000",142,"none","PRESERVED_SPECIMEN",3784789,6,7707728,220,933,6657,3189959,3785438,3785438,"Cupania revoluta Radlk.","Cupania impressinervia Acev.-Rodr.","Plantae","Tracheophyta","Sapindales","Sapindaceae","Cupania","Cupania impressinervia","Cupania","revoluta","SPECIES","SYNONYM","none",NA,NA,"","Espírito Santo",2014,5,19,"2014-05-19T00:00:00","2018-12-09T06:15:00.015+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","VIES - Herbário Central da Universidade Federal do Espírito Santo VIES","BRA:UFES:VIES:0000025337","240","VIES - Herbário Central da Universidade Federal do Espírito Santo VIES","Conceição da Barra","Parque Estadual de Itaúnas.","pt","VIES",1090878886,"BRA:UFES:VIES:0000025337","Collection","Freitas, J.; Silva, L.A.; Alves-Araújo, A.; Carrijo, T.T.; Garbin, M.L.","25337","UFES","Universidade Federal do Espírito Santo, UFES","Árvore 6m. Flores passadas. Frutos verdes.","","2018-10-03T13:56:26.000+0000","","","","","","","",NA,"","",NA,"","",NA,"","","",NA,"","","","",NA,NA,"","",NA,"","","",NA,"Conceição da Barra","Espírito Santo","brazil",2736,"Conceição da Barra",3201605,-39.832833,-18.445026,"ESPIRITO SANTO","ES","Espírito Santo",-40.6681057,-19.57475617,"Espírito Santo","es",-18.521944,-39.739167,"original coordinates","original coordinates OK"
"9","Cupania impressinervia",1087694831,-10.998333,-37.310278,"gass84","76823beb-2f33-47a6-96a1-ccd2df47ac28","9243118c-e750-412b-91f4-ac987666eee1","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T18:47:02.894+0000","2018-09-24T19:50:15.439+0000",132,"none","PRESERVED_SPECIMEN",3785438,6,7707728,220,933,6657,3189959,3785438,3785438,"Cupania impressinervia Acev.-Rodr.","Cupania impressinervia Acev.-Rodr.","Plantae","Tracheophyta","Sapindales","Sapindaceae","Cupania","Cupania impressinervia","Cupania","impressinervia","SPECIES","ACCEPTED","2014-11-11T00:00:00",NA,NA,"SOUTH_AMERICA","Sergipe",2014,5,5,"2014-05-05T00:00:00","2018-12-08T13:06:02.538+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","ASE - Herbário da Universidade Federal de Sergipe","BRA:UFS:ASE:0000032320","117","ASE - Herbário da Universidade Federal de Sergipe","Itaporanga d'Ajuda","","pt","ASE",1087694831,"BRA:UFS:ASE:0000032320","Collection","Gonçalves, FB","32320","Universidade Federal de Sergipe, UFS","Universidade Federal de Sergipe, UFS","Árvore. Casca externa marrom escuro, grossa, rugosa e com depressões, e casca interna amarelo claro. Coordenadas UTM: E (0675343m) N (8780786m). Nº do conglomerado: 149, Nº da subunidade: 3, Nº da subparcela: 10, Nº da árvore: 1 (F8).","Silva, ACC","2018-08-31T18:31:24.000+0000","","","","","","","",NA,"","",NA,"","",NA,"","","",NA,"","","","",NA,NA,"","",NA,"","","",NA,"Itaporanga d'Ajuda","Sergipe","brazil",3733,"Itaporanga D'ajuda",2803203,-37.318178,-11.05724,"SERGIPE","SE","Sergipe",-37.44360505,-10.583842,"Sergipe","se",-10.998333,-37.310278,"original coordinates","original coordinates OK"
"10","Cupania impressinervia",1087694839,-10.688611,-37.148333,"gass84","76823beb-2f33-47a6-96a1-ccd2df47ac28","9243118c-e750-412b-91f4-ac987666eee1","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T18:47:02.884+0000","2018-09-24T19:50:15.508+0000",132,"none","PRESERVED_SPECIMEN",3785438,6,7707728,220,933,6657,3189959,3785438,3785438,"Cupania impressinervia Acev.-Rodr.","Cupania impressinervia Acev.-Rodr.","Plantae","Tracheophyta","Sapindales","Sapindaceae","Cupania","Cupania impressinervia","Cupania","impressinervia","SPECIES","ACCEPTED","2014-11-11T00:00:00",NA,NA,"SOUTH_AMERICA","Sergipe",2014,6,3,"2014-06-03T00:00:00","2018-12-08T13:06:02.579+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","ASE - Herbário da Universidade Federal de Sergipe","BRA:UFS:ASE:0000032323","201","ASE - Herbário da Universidade Federal de Sergipe","Itabaiana","Solo arenoso, raso e pedregoso. Vegetação rasteira e com capoeira em regeneração","pt","ASE",1087694839,"BRA:UFS:ASE:0000032323","Collection","Gonçalves, FB","32323","Universidade Federal de Sergipe, UFS","Universidade Federal de Sergipe, UFS","Árvore, com ca. de 1,62 m de altura. Casca externa marrom escuro, fina, lisa, e casca interna verde. Coordenadas UTM: E (0680449m) N (8815603m). Nº do conglomerado: 102, Nº da subunidade: 3, Nº da subparcela: 10, Nº da árvore: 5R (F8)","Silva, ACC","2018-08-31T18:31:24.000+0000","","","","","","","",NA,"","",NA,"","",NA,"","","",NA,"","","","",NA,NA,"","",NA,"","","",NA,"Itabaiana","Sergipe","brazil",3794,"Itabaiana",2802908,-37.421727,-10.685911,"SERGIPE","SE","Sergipe",-37.44360505,-10.583842,"Sergipe","se",-10.688611,-37.148333,"original coordinates","original coordinates outside municipality original in itabaiana falls in divina pastora"
"11","Cupania impressinervia",1944978140,-17.819444,-39.420556,"gass84","bc81e05b-ed51-46ba-a0a4-90fbae9b5545","c6aacf9d-a5a7-4d7f-a6fc-ea0a4b8ec450","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T12:34:47.107+0000","2018-11-24T12:34:47.128+0000",122,"none","PRESERVED_SPECIMEN",3785438,6,7707728,220,933,6657,3189959,3785438,3785438,"Cupania impressinervia Acev.-Rodr.","Cupania impressinervia Acev.-Rodr.","Plantae","Tracheophyta","Sapindales","Sapindaceae","Cupania","Cupania impressinervia","Cupania","impressinervia","SPECIES","ACCEPTED","none",NA,NA,"","Bahia",2014,7,10,"2014-07-10T00:00:00","2018-11-24T12:35:58.266+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","CEPEC - Herbário do Centro de Pesquisas do Cacau","BRA:CEPLAC:CEPEC:0000142294","17","CEPEC - Herbário do Centro de Pesquisas do Cacau","NOVA VIÇOSA","Conglomerado BA_1440-4-3-9","pt","CEPEC",1944978140,"BRA:CEPLAC:CEPEC:0000142294","Collection","Rocha, F.O.","142294","Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC)","Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC)","Duplicatas: RB","Sem Informação","","","","","","","","",NA,"","",NA,"","",NA,"","","",NA,"","","","",NA,NA,"","",NA,"","","",NA,"NOVA VIÇOSA","Bahia","brazil",2804,"Nova Viçosa",2923001,-39.714886,-17.899545,"BAHIA","BA","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-17.819444,-39.420556,"original coordinates","original coordinates outside municipality original in nova vicosa falls in caravelas"
"12","Cupania impressinervia",1571705063,-8.444167,-38.755,"cdround,gass84","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","none","da7fe11a-b42c-46cb-9e9d-02243edb738a","BR","DWC_ARCHIVE","2018-10-02T15:37:02.091+0000","2018-09-24T19:58:43.852+0000",207,"none","PRESERVED_SPECIMEN",3785438,6,7707728,220,933,6657,3189959,3785438,3785438,"Cupania impressinervia Acev.-Rodr.","Cupania impressinervia Acev.-Rodr.","Plantae","Tracheophyta","Sapindales","Sapindaceae","Cupania","Cupania impressinervia","Cupania","impressinervia","SPECIES","ACCEPTED","2015-11-11T00:00:00",840,NA,"","Pernambuco",2014,8,27,"2014-08-27T00:00:00","2018-12-08T17:22:57.767+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","Rio de Janeiro Botanical Garden","urn:catalog:JBRJ:RB:1326594","1617","RB - Rio de Janeiro Botanical Garden Herbarium Collection","Carnaubeira da Penha","Serra do Arapuá, nas imediações do Sítio Boa Vista, afloramento rochoso e mata estacional a ca. de 1 Km a SW do Sítio Boa Vista. Área degradada pela agricultura com dominância de catolés.","","RB",1571705063,"urn:catalog:JBRJ:RB:1326594","PhysicalObject","J.L. Costa-Lima; L.A. Raimundo; A.N. Silva","RB01326594","JBRJ","","","V.M. Cotarelli","2017-10-15T12:50:12.145+0000","RB 732501","Savana estépica, neossolo regolítico órtico","","","","","",NA,"","",NA,"","",NA,"","","",NA,"","","","",NA,NA,"","",NA,"","","",NA,"Carnaubeira da Penha","Pernambuco","brazil",4195,"Carnaubeira da Penha",2603926,-38.721212,-8.40902,"PERNAMBUCO","PE","Pernambuco",-37.99303622,-8.3240949,"Pernambuco","pe",-8.444167,-38.755,"original coordinates","original coordinates OK"
"13","Cupania impressinervia",1087694785,-11.184167,-37.998056,"gass84","76823beb-2f33-47a6-96a1-ccd2df47ac28","9243118c-e750-412b-91f4-ac987666eee1","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T18:47:02.872+0000","2018-09-24T19:50:15.537+0000",132,"none","PRESERVED_SPECIMEN",3785438,6,7707728,220,933,6657,3189959,3785438,3785438,"Cupania impressinervia Acev.-Rodr.","Cupania impressinervia Acev.-Rodr.","Plantae","Tracheophyta","Sapindales","Sapindaceae","Cupania","Cupania impressinervia","Cupania","impressinervia","SPECIES","ACCEPTED","2014-11-11T00:00:00",NA,NA,"SOUTH_AMERICA","Sergipe",2014,9,22,"2014-09-22T00:00:00","2018-12-08T13:06:02.579+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","ASE - Herbário da Universidade Federal de Sergipe","BRA:UFS:ASE:0000032314","60","ASE - Herbário da Universidade Federal de Sergipe","Tobias Barreto","","pt","ASE",1087694785,"BRA:UFS:ASE:0000032314","Collection","Jesus, CG","32314","Universidade Federal de Sergipe, UFS","Universidade Federal de Sergipe, UFS","Arbusto com casca externa marrom, fina e lisa, e casca interna verde. Coordenadas UTM: E (611441m) N (8786043m). Nº do conglomerado: 137, Nº da subunidade: 3, Nº da subparcela: 10, Nº da árvore: 8RF8.","Silva, ACC","2018-08-31T18:31:24.000+0000","","","","","","","",NA,"","",NA,"","",NA,"","","",NA,"","","","",NA,NA,"","",NA,"","","",NA,"Tobias Barreto","Sergipe","brazil",3736,"Tobias Barreto",2807402,-38.003348,-11.041456,"SERGIPE","SE","Sergipe",-37.44360505,-10.583842,"Sergipe","se",-11.184167,-37.998056,"original coordinates","original coordinates OK"
"14","Cupania impressinervia",1213520445,-9.441136,-36.717992,"gass84","a0cb1f6e-5766-4cc5-a8a0-cfc6a22c5c3d","81114709-2a6c-4e0b-908b-cb207a8708c2","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T18:21:12.293+0000","2018-11-23T18:21:12.310+0000",125,"none","PRESERVED_SPECIMEN",3785438,6,7707728,220,933,6657,3189959,3785438,3785438,"Cupania impressinervia Acev.-Rodr.","Cupania impressinervia Acev.-Rodr.","Plantae","Tracheophyta","Sapindales","Sapindaceae","Cupania","Cupania impressinervia","Cupania","impressinervia","SPECIES","ACCEPTED","none",NA,NA,"","Alagoas",2014,10,23,"2014-10-23T00:00:00","2018-11-23T18:22:07.717+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","MAC - Herbário do Instituto do Meio Ambiente do Estado de Alagoas","BRA:IMA:MAC:0000057843","4220","MAC - Herbário do Instituto do Meio Ambiente do Estado de Alagoas","Quebrangulo","Reserva Biológica de Pedra Talhada, Floresta ombrófila submontana de planície.","pt","MAC",1213520445,"BRA:IMA:MAC:0000057843","Collection","L.Nusbaumer","57843","IMA","Instituto do Meio Ambiente do Estado de Alagoas, IMA","Árvore ca. 7 m. Fruto com 3 lóculos. Folhas glabras.; Mata Atlântica.","","","","","","","","","",NA,"","",NA,"","",NA,"","","",NA,"","","","",NA,NA,"","",NA,"","","",NA,"Quebrangulo","Alagoas","brazil",4031,"Quebrangulo",2707602,-36.468669,-9.311118,"ALAGOAS","AL","Alagoas",-36.62362821,-9.51494324,"Alagoas","al",-9.441136,-36.717992,"original coordinates","original coordinates outside municipality original in quebrangulo falls in estrela de alagoas"
