"","name","key","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","networkKeys","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","extensions","basisOfRecord","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","scientificName","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","dateIdentified","elevation","elevationAccuracy","stateProvince.original","year","month","day","eventDate","modified","lastInterpreted","license","identifiers","facts","relations","geodeticDatum","class","countryCode","country.original","rightsHolder","identifier","recordNumber","datasetName","municipality.original","locality","language","collectionCode","gbifID","occurrenceID","type","recordedBy","catalogNumber","institutionCode","ownerInstitutionCode","occurrenceRemarks","continent","identifiedBy","individualCount","preparations","otherCatalogNumbers","fieldNotes","institutionID","verbatimEventDate","higherGeography","endDayOfYear","startDayOfYear","higherClassification","references","nomenclaturalCode","county","verbatimElevation","collectionID","habitat","fieldNumber","verbatimLocality","verbatimCoordinateSystem","nomenclaturalStatus","taxonID","bibliographicCitation","coordinateUncertaintyInMeters","identificationRemarks","georeferenceProtocol","georeferenceSources","rights","verbatimTaxonRank","typeStatus","organismID","datasetID","accessRights","typifiedName","dynamicProperties","municipality","stateProvince","country","FID","NOME","GEOCODIGO","POINT_X","POINT_Y","NOMEUF","SIGLAUF","estados_shp","x_estado","y_estado","nome","sigla","new_Lat","new_Lon","notes","comments"
"1","Bocoa mollis",1901019192,-10.427222,-41.618611,"gass84","2e684fd6-09e2-4661-910a-0a188b610c04","60545be9-4f28-4245-b4b4-07635c8dfa54","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-14T17:20:06.074+0000","2018-11-14T17:20:06.088+0000",124,"none","PRESERVED_SPECIMEN",3975616,6,7707728,220,1370,5386,2941178,2941185,2941185,"Trischidium molle (Benth.) H.E.Ireland","Bocoa mollis (Benth.) R.S.Cowan","Plantae","Tracheophyta","Fabales","Fabaceae","Bocoa","Bocoa mollis","Trischidium","molle","SPECIES","SYNONYM","none",645,0,"Bahia",2017,1,22,"2017-01-22T00:00:00","2018-11-09T19:19:28.000+0000","2018-12-09T13:08:43.514+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HUEFS - Herbario da Universidade Estadual de Feira de Santana","BRA:UEFS:HUEFS:0000242333","64","HUEFS - Herbario da Universidade Estadual de Feira de Santana","Sento Sé","Trilha para o riacho da Caiçara. Estrada entre o povoado Brejo da Brásida e o povoado do Alegre.","pt","HUEFS",1901019192,"BRA:UEFS:HUEFS:0000242333","Collection","Almeida, E.D.S.","242333","UEFS","Universidade Estadual de Feira de Santana (UEFS)","Fitofisionomia Savana. Solo Neossolo Litólico Eutrófico.","","",NA,"","","","","","",NA,NA,"","","","","","","",NA,"","",NA,NA,NA,NA,"","","",NA,"","",NA,"","","",NA,"Sento Sé","Bahia","brazil",3892,"Sento Sé",2930204,-41.658076,-10.134058,"BAHIA","BA","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-10.427222,-41.618611,"original coordinates","original coordinates OK"
"2","Bocoa mollis",1853943794,-10.424361,-41.624389,"cdround,gass84","b18aa640-0367-4956-a6a4-5f07141127f1","6bfada01-036d-455a-b332-081dbe226a05","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T18:22:19.569+0000","2018-07-04T12:05:33.690+0000",121,"none","PRESERVED_SPECIMEN",3975616,6,7707728,220,1370,5386,2941178,2941185,2941185,"Trischidium molle (Benth.) H.E.Ireland","Bocoa mollis (Benth.) R.S.Cowan","Plantae","Tracheophyta","Fabales","Fabaceae","Bocoa","Bocoa mollis","Trischidium","molle","SPECIES","SYNONYM","2018-03-12T00:00:00",619,0,"Bahia",2017,1,22,"2017-01-22T00:00:00","","2018-07-07T02:13:27.438+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HVASF - Herbário Vale do São Francisco","BRA:UNIVASF:HVASF:0000023557","57","HVASF - Herbário Vale do São Francisco","Sento Sé","Brejo da Brásida, trilha para o Riacho da Caiçara","pt","HVASF",1853943794,"BRA:UNIVASF:HVASF:0000023557","Collection","E.D.S. Almeida","23557","UNIVASF","Universidade Federal do Vale do São Francisco (UNIVASF)","Arbusto, ca. de 2,5 m alt. Frutos imaturos verdes.","SOUTH_AMERICA","L.P. Queiroz",NA,"","","","","","",NA,NA,"","","","","","","",NA,"","",NA,NA,NA,NA,"","","",NA,"","",NA,"","","",NA,"Sento Sé","Bahia","brazil",3892,"Sento Sé",2930204,-41.658076,-10.134058,"BAHIA","BA","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-10.424361,-41.624389,"original coordinates","original coordinates OK"
"3","Bocoa mollis",1587303405,-10.277444,-41.614694,"cdround,gass84","b18aa640-0367-4956-a6a4-5f07141127f1","6bfada01-036d-455a-b332-081dbe226a05","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T18:22:19.499+0000","2018-05-05T12:05:52.745+0000",121,"none","PRESERVED_SPECIMEN",3975616,6,7707728,220,1370,5386,2941178,2941185,2941185,"Trischidium molle (Benth.) H.E.Ireland","Bocoa mollis (Benth.) R.S.Cowan","Plantae","Tracheophyta","Fabales","Fabaceae","Bocoa","Bocoa mollis","Trischidium","molle","SPECIES","SYNONYM","2017-11-10T00:00:00",415,0,"Bahia",2017,1,20,"2017-01-20T00:00:00","","2018-07-07T03:37:57.363+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HVASF - Herbário Vale do São Francisco","BRA:UNIVASF:HVASF:0000023264","290","HVASF - Herbário Vale do São Francisco","Sento Sé","Área Proposta para o Parque Nacional do Boqueirão da Onça, Comunidade Brejo da Brásida, Grota da Santana","pt","HVASF",1587303405,"BRA:UNIVASF:HVASF:0000023264","Collection","D.S. Fernandes","23264","UNIVASF","Universidade Federal do Vale do São Francisco (UNIVASF)","Arbusto, ca. de 1,5m de alt., frutos capsulares imaturos, verdes.","SOUTH_AMERICA","R.T. Queiroz",NA,"","","","","","",NA,NA,"","","","","","","",NA,"","",NA,NA,NA,NA,"","","",NA,"","",NA,"","","",NA,"Sento Sé","Bahia","brazil",3892,"Sento Sé",2930204,-41.658076,-10.134058,"BAHIA","BA","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-10.277444,-41.614694,"original coordinates","original coordinates OK"
"4","Bocoa mollis",1705511475,-10.783333,-42.816667,"gass84","2e684fd6-09e2-4661-910a-0a188b610c04","60545be9-4f28-4245-b4b4-07635c8dfa54","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-14T17:20:03.982+0000","2018-11-14T17:20:03.999+0000",124,"none","PRESERVED_SPECIMEN",3975616,6,7707728,220,1370,5386,2941178,2941185,2941185,"Trischidium molle (Benth.) H.E.Ireland","Bocoa mollis (Benth.) R.S.Cowan","Plantae","Tracheophyta","Fabales","Fabaceae","Bocoa","Bocoa mollis","Trischidium","molle","SPECIES","SYNONYM","none",418,0,"Bahia",2017,3,8,"2017-03-08T00:00:00","2018-11-09T19:19:28.000+0000","2018-12-09T16:22:35.132+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HUEFS - Herbario da Universidade Estadual de Feira de Santana","BRA:UEFS:HUEFS:0000235403","2111","HUEFS - Herbario da Universidade Estadual de Feira de Santana","Barra","Iberaba, dunes near village","pt","HUEFS",1705511475,"BRA:UEFS:HUEFS:0000235403","Collection","Pennington, R.T.","235403","UEFS","Universidade Estadual de Feira de Santana (UEFS)","Caatinga on sand dunes by Rio Sao Francisco","","",NA,"","","","","","",NA,NA,"","","","","","","",NA,"","",NA,NA,NA,NA,"","","",NA,"","",NA,"","","",NA,"Barra","Bahia","brazil",3744,"Barra",2902708,-43.368102,-11.006474,"BAHIA","BA","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-10.783333,-42.816667,"original coordinates","original coordinates OK"
"5","Bocoa mollis",1699901507,-11.491111,-41.331389,"gass84","2e684fd6-09e2-4661-910a-0a188b610c04","60545be9-4f28-4245-b4b4-07635c8dfa54","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-14T17:20:03.264+0000","2018-11-14T17:20:03.270+0000",124,"none","PRESERVED_SPECIMEN",3975616,6,7707728,220,1370,5386,2941178,2941185,2941185,"Trischidium molle (Benth.) H.E.Ireland","Bocoa mollis (Benth.) R.S.Cowan","Plantae","Tracheophyta","Fabales","Fabaceae","Bocoa","Bocoa mollis","Trischidium","molle","SPECIES","SYNONYM","2017-11-01T00:00:00",920,0,"Bahia",2017,3,3,"2017-03-03T00:00:00","2018-11-09T19:19:28.000+0000","2018-12-05T23:54:03.858+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HUEFS - Herbario da Universidade Estadual de Feira de Santana","BRA:UEFS:HUEFS:0000233298","346","HUEFS - Herbario da Universidade Estadual de Feira de Santana","Morro do Chapéu","ca. 100m W of BA-052 road at km 289.","pt","HUEFS",1699901507,"BRA:UEFS:HUEFS:0000233298","Collection","Moonlight, P.W.","233298","UEFS","Universidade Estadual de Feira de Santana (UEFS)","Directly from soil in sandy caatinga, full sun.","","L.P.Queiroz",NA,"","","","","","",NA,NA,"","","","","","","",NA,"","",NA,NA,NA,NA,"","","",NA,"","",NA,"","","",NA,"Morro do Chapéu","Bahia","brazil",3674,"Morro do Chapéu",2921708,-41.151587,-11.472221,"BAHIA","BA","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-11.491111,-41.331389,"original coordinates","original coordinates OK"
"6","Bocoa mollis",1848739157,-8.563056,-37.241111,"gass84","2e684fd6-09e2-4661-910a-0a188b610c04","60545be9-4f28-4245-b4b4-07635c8dfa54","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-14T17:20:05.030+0000","2018-11-14T17:20:05.277+0000",124,"none","PRESERVED_SPECIMEN",3975616,6,7707728,220,1370,5386,2941178,2941185,2941185,"Trischidium molle (Benth.) H.E.Ireland","Bocoa mollis (Benth.) R.S.Cowan","Plantae","Tracheophyta","Fabales","Fabaceae","Bocoa","Bocoa mollis","Trischidium","molle","SPECIES","SYNONYM","none",827,0,"Pernambuco",2017,8,29,"2017-08-29T00:00:00","2018-11-09T19:19:28.000+0000","2018-12-08T22:44:20.197+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HUEFS - Herbario da Universidade Estadual de Feira de Santana","BRA:UEFS:HUEFS:0000239866","319","HUEFS - Herbario da Universidade Estadual de Feira de Santana","Buíque","PARNA Catimbau","pt","HUEFS",1848739157,"BRA:UEFS:HUEFS:0000239866","Collection","Pezzini, F.F.","239866","UEFS","Universidade Estadual de Feira de Santana (UEFS)","","","",NA,"","","","","","",NA,NA,"","","","","","","",NA,"","",NA,NA,NA,NA,"","","",NA,"","",NA,"","","",NA,"Buíque","Pernambuco","brazil",4154,"Buíque",2602803,-37.122599,-8.649471,"PERNAMBUCO","PE","Pernambuco",-37.99303622,-8.3240949,"Pernambuco","pe",-8.563056,-37.241111,"original coordinates","original coordinates OK"
"7","Bocoa mollis",1835179241,-8.416667,-42.333333,"gass84","2e684fd6-09e2-4661-910a-0a188b610c04","60545be9-4f28-4245-b4b4-07635c8dfa54","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-14T17:20:04.734+0000","2018-11-14T17:20:04.742+0000",124,"none","PRESERVED_SPECIMEN",3975616,6,7707728,220,1370,5386,2941178,2941185,2941185,"Trischidium molle (Benth.) H.E.Ireland","Bocoa mollis (Benth.) R.S.Cowan","Plantae","Tracheophyta","Fabales","Fabaceae","Bocoa","Bocoa mollis","Trischidium","molle","SPECIES","SYNONYM","none",NA,NA,"Piauí",2017,12,8,"2017-12-08T00:00:00","","2018-11-14T17:20:04.776+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HUEFS - Herbario da Universidade Estadual de Feira de Santana","BRA:UEFS:HUEFS:0000238817","225","HUEFS - Herbario da Universidade Estadual de Feira de Santana","São Raimundo Nonato","Parque Nacional Serra da Capivara","pt","HUEFS",1835179241,"BRA:UEFS:HUEFS:0000238817","Collection","Rodrigues, P.","238817","UEFS","Universidade Estadual de Feira de Santana (UEFS)","Caatinga","","",NA,"","","","","","",NA,NA,"","","","","","","",NA,"","",NA,NA,NA,NA,"","","",NA,"","",NA,"","","",NA,"São Raimundo Nonato","Piauí","brazil",4095,"São Raimundo Nonato",2210607,-42.715282,-8.96647,"PIAUI","PI","Piauí",-42.9686162,-7.38798322,"Piauí","pi",-8.416667,-42.333333,"original coordinates","original coordinates outside municipality original in sao raimundo nonato falls in joao costa"
"8","Bocoa mollis",1423837956,-5.636667,-35.469722,"gass84","5b5cf455-a448-4c0a-aecd-3e0956f27f10","afdd8e93-b4e3-491c-88f0-8a22834ac1a9","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-12-03T14:13:54.342+0000","2018-12-03T16:16:29.672+0000",122,"none","PRESERVED_SPECIMEN",3975616,6,7707728,220,1370,5386,2941178,2941185,2941185,"Trischidium molle (Benth.) H.E.Ireland","Bocoa mollis (Benth.) R.S.Cowan","Plantae","Tracheophyta","Fabales","Fabaceae","Bocoa","Bocoa mollis","Trischidium","molle","SPECIES","SYNONYM","none",68,0,"Rio Grande do Norte",2016,1,21,"2016-01-21T00:00:00","2018-08-28T19:08:26.000+0000","2018-12-06T16:55:00.253+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","ALCB - Herbário Alexandre Leal Costa","BRA:UFBA:ALCB:0000126056","466","ALCB - Herbário Alexandre Leal Costa","Ceará-Mirim","Área para instalação da LT Ceará-Mirim - Parazinho.","pt","ALCB",1423837956,"BRA:UFBA:ALCB:0000126056","Collection","Moura, EO; Nunes, ARV","126056","Universidade Federal da Bahia (UFBA)","Universidade Federal da Bahia (UFBA)","ca. 2 m. Folhas levemente discolores. Flores brancas. Frequente.; Floresta Estacional Semidecidua em estágio médio de regenaração. Solo arenoso.","SOUTH_AMERICA","",NA,"","","","","","",NA,NA,"","","","","","","",NA,"","",NA,NA,NA,NA,"","","",NA,"","",NA,"","","",NA,"Ceará-Mirim","Rio Grande do Norte","brazil",4979,"Ceará-Mirim",2402600,-35.395343,-5.595789,"RIO GRANDE DO NORTE","RN","Rio Grande do Norte",-36.67312218,-5.83926444,"Rio Grande do Norte","rn",-5.636667,-35.469722,"original coordinates","original coordinates OK"
"9","Bocoa mollis",1836918763,-4.5716,-36.5639,"gass84","76823beb-2f33-47a6-96a1-ccd2df47ac28","9243118c-e750-412b-91f4-ac987666eee1","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T18:47:05.063+0000","2018-09-24T19:50:18.662+0000",132,"none","PRESERVED_SPECIMEN",3975616,6,7707728,220,1370,5386,2941178,2941185,2941185,"Trischidium molle (Benth.) H.E.Ireland","Bocoa mollis (Benth.) R.S.Cowan","Plantae","Tracheophyta","Fabales","Fabaceae","Bocoa","Bocoa mollis","Trischidium","molle","SPECIES","SYNONYM","none",103,0,"Rio Grande do Norte",2016,4,9,"2016-04-09T00:00:00","2018-08-31T18:26:44.000+0000","2018-12-09T13:26:55.391+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","ASE - Herbário da Universidade Federal de Sergipe","BRA:UFS:ASE:0000039164","593","ASE - Herbário da Universidade Federal de Sergipe","Areia Branca","Fazenda Nova Esperança, Solo pedregoso.","pt","ASE",1836918763,"BRA:UFS:ASE:0000039164","Collection","Moura, EO; Soares, AS; Tomaz, EC; Fonseca, AS","39164","Universidade Federal de Sergipe, UFS","Universidade Federal de Sergipe, UFS","Caatinga arbustiva; Caatinga","SOUTH_AMERICA","",NA,"","","","","","",NA,NA,"","","","","","","",NA,"","",NA,NA,NA,NA,"","","",NA,"","",NA,"","","",NA,"Areia Branca","Rio Grande do Norte","brazil",5078,"Areia Branca",2401107,-37.037167,-5.000582,"RIO GRANDE DO NORTE","RN","Rio Grande do Norte",-36.67312218,-5.83926444,"Rio Grande do Norte","rn",-4.5716,-36.5639,"original coordinates","original coordinates outside Brazil"
"10","Bocoa mollis",1805900206,-5.0806,-35.4257,"gass84","76823beb-2f33-47a6-96a1-ccd2df47ac28","9243118c-e750-412b-91f4-ac987666eee1","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T18:47:05.015+0000","2018-09-24T19:50:18.696+0000",132,"none","PRESERVED_SPECIMEN",3975616,6,7707728,220,1370,5386,2941178,2941185,2941185,"Trischidium molle (Benth.) H.E.Ireland","Bocoa mollis (Benth.) R.S.Cowan","Plantae","Tracheophyta","Fabales","Fabaceae","Bocoa","Bocoa mollis","Trischidium","molle","SPECIES","SYNONYM","none",NA,NA,"Rio Grande do Norte",2016,5,19,"2016-05-19T00:00:00","","2018-09-24T19:50:22.433+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","ASE - Herbário da Universidade Federal de Sergipe","BRA:UFS:ASE:0000038991","721","ASE - Herbário da Universidade Federal de Sergipe","São Miguel do Gostoso","","pt","ASE",1805900206,"BRA:UFS:ASE:0000038991","Collection","Moura, EO; Fonseca, AS","38991","Universidade Federal de Sergipe, UFS","Universidade Federal de Sergipe, UFS","Arbusto ca. 2 m. Ramos e troncos amarelados. Frutos imaturos verdes.; Caatinga arbustiva. Solo pedregoso.","SOUTH_AMERICA","",NA,"","","","","","",NA,NA,"","","","","","","",NA,"","",NA,NA,NA,NA,"","","",NA,"","",NA,"","","",NA,"São Miguel do Gostoso","Rio Grande do Norte","brazil",5043,"São Miguel do Gostoso",2412559,-35.740537,-5.182693,"RIO GRANDE DO NORTE","RN","Rio Grande do Norte",-36.67312218,-5.83926444,"Rio Grande do Norte","rn",-5.0806,-35.4257,"original coordinates","original coordinates outside Brazil"
"11","Bocoa mollis",1837839679,-11.494167,-41.3325,"gass84","2e684fd6-09e2-4661-910a-0a188b610c04","60545be9-4f28-4245-b4b4-07635c8dfa54","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-14T17:20:04.897+0000","2018-11-14T17:20:05.041+0000",124,"none","PRESERVED_SPECIMEN",3975616,6,7707728,220,1370,5386,2941178,2941185,2941185,"Trischidium molle (Benth.) H.E.Ireland","Bocoa mollis (Benth.) R.S.Cowan","Plantae","Tracheophyta","Fabales","Fabaceae","Bocoa","Bocoa mollis","Trischidium","molle","SPECIES","SYNONYM","none",930,0,"Bahia",2016,11,9,"2016-11-09T00:00:00","2018-11-09T19:19:28.000+0000","2018-12-08T03:44:07.370+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HUEFS - Herbario da Universidade Estadual de Feira de Santana","BRA:UEFS:HUEFS:0000239339","4159","HUEFS - Herbario da Universidade Estadual de Feira de Santana","Morro do Chapeu","Lajes, ca. 25 km no lado esquerdo da BA-052 sentido Irecê.","pt","HUEFS",1837839679,"BRA:UEFS:HUEFS:0000239339","Collection","Cardoso, D.","239339","UEFS","Universidade Estadual de Feira de Santana (UEFS)","","","",NA,"","","","","","",NA,NA,"","","","","","","",NA,"","",NA,NA,NA,NA,"","","",NA,"","",NA,"","","",NA,"Morro do Chapeu","Bahia","brazil",3674,"Morro do Chapéu",2921708,-41.151587,-11.472221,"BAHIA","BA","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-11.494167,-41.3325,"original coordinates","original coordinates OK"
"12","Bocoa mollis",1094797524,-7.539167,-38.894167,"gass84","2e684fd6-09e2-4661-910a-0a188b610c04","60545be9-4f28-4245-b4b4-07635c8dfa54","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-14T17:18:36.809+0000","2018-11-14T17:18:36.852+0000",124,"none","PRESERVED_SPECIMEN",3975616,6,7707728,220,1370,5386,2941178,2941185,2941185,"Trischidium molle (Benth.) H.E.Ireland","Bocoa mollis (Benth.) R.S.Cowan","Plantae","Tracheophyta","Fabales","Fabaceae","Bocoa","Bocoa mollis","Trischidium","molle","SPECIES","SYNONYM","none",449,0,"Ceará",2015,2,3,"2015-02-03T00:00:00","","2018-11-14T17:18:36.889+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HUEFS - Herbario da Universidade Estadual de Feira de Santana","BRA:UEFS:HUEFS:0000079570","280","HUEFS - Herbario da Universidade Estadual de Feira de Santana","Brejo Santo","VPR Vassouras","pt","HUEFS",1094797524,"BRA:UEFS:HUEFS:0000079570","Collection","Pimentel, L.B.","79570","UEFS","Universidade Estadual de Feira de Santana (UEFS)","Savana Estépica. Alissolo Crômico Argilúvico","","",NA,"","","","","","",NA,NA,"","","","","","","",NA,"","",NA,NA,NA,NA,"","","",NA,"","",NA,"","","",NA,"Brejo Santo","Ceará","brazil",4390,"Brejo Santo",2302503,-38.921065,-7.556243,"CEARA","CE","Ceará",-39.61556123,-5.09311398,"Ceará","ce",-7.539167,-38.894167,"original coordinates","original coordinates OK"
"13","Bocoa mollis",1837839389,-14.730278,-43.888056,"gass84","2e684fd6-09e2-4661-910a-0a188b610c04","60545be9-4f28-4245-b4b4-07635c8dfa54","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-14T17:20:04.808+0000","2018-11-14T17:20:04.841+0000",124,"none","PRESERVED_SPECIMEN",3975616,6,7707728,220,1370,5386,2941178,2941185,2941185,"Trischidium molle (Benth.) H.E.Ireland","Bocoa mollis (Benth.) R.S.Cowan","Plantae","Tracheophyta","Fabales","Fabaceae","Bocoa","Bocoa mollis","Trischidium","molle","SPECIES","SYNONYM","none",444,0,"Bahia",2015,3,6,"2015-03-06T00:00:00","2018-11-09T19:19:28.000+0000","2018-12-08T03:44:07.266+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HUEFS - Herbario da Universidade Estadual de Feira de Santana","BRA:UEFS:HUEFS:0000239061","3683","HUEFS - Herbario da Universidade Estadual de Feira de Santana","Malhada","Estrada Cana Brava-Riachão sentido Manga-MG.","pt","HUEFS",1837839389,"BRA:UEFS:HUEFS:0000239061","Collection","Cardoso, D.","239061","UEFS","Universidade Estadual de Feira de Santana (UEFS)","","","",NA,"","","","","","",NA,NA,"","","","","","","",NA,"","",NA,NA,NA,NA,"","","",NA,"","",NA,"","","",NA,"Malhada","Bahia","brazil",3320,"Malhada",2920205,-43.651428,-14.212228,"BAHIA","BA","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-14.730278,-43.888056,"original coordinates","original coordinates outside municipality original in malhada falls in matias cardoso"
"14","Bocoa mollis",1806876253,-7.975833,-39,"gass84","afae313d-2283-49fc-97fd-6825da4cb49b","903d4412-04a3-47c7-8584-7911a3d7e2d1","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T18:22:06.089+0000","2018-04-05T12:04:23.411+0000",133,"none","PRESERVED_SPECIMEN",3975616,6,7707728,220,1370,5386,2941178,2941185,2941185,"Trischidium molle (Benth.) H.E.Ireland","Bocoa mollis (Benth.) R.S.Cowan","Plantae","Tracheophyta","Fabales","Fabaceae","Bocoa","Bocoa mollis","Trischidium","molle","SPECIES","SYNONYM","2015-04-28T00:00:00",0,0,"Ceará",2015,4,28,"2015-04-28T00:00:00","2018-03-15T13:43:17.000+0000","2018-12-10T04:45:46.940+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HTSA - Herbário do Trópico Semiárido","BRA:CPATSA:HTSA:0000006523","2969","HTSA - Herbário do Trópico Semiárido","Brejo Santo","ASV_Igrejinha, Caatinga arbóreo-densa. Solo arenoso.","pt","HTSA",1806876253,"BRA:CPATSA:HTSA:0000006523","Collection","Marcondes Oliveira; Pimentel, L. .B.","6523","Empresa Brasileira de Pesquisa Agropecuária (EMBRAPA)","Empresa Brasileira de Pesquisa Agropecuária (EMBRAPA)","Arvoreta cerca de 3,5m de altura. Frutos esverdeados. Frequente.; Caatinga; HABITAT: Caatinga","","Marcondes Oliveira",NA,"","","","","","",NA,NA,"","","","","","","",NA,"","",NA,NA,NA,NA,"","","",NA,"","",NA,"","","",NA,"Brejo Santo","Ceará","brazil",4390,"Brejo Santo",2302503,-38.921065,-7.556243,"CEARA","CE","Ceará",-39.61556123,-5.09311398,"Ceará","ce",-7.975833,-39,"original coordinates","original coordinates outside municipality original in brejo santo falls in verdejante"
"15","Bocoa mollis",1252590854,-7.585278,-39.001667,"gass84","2e684fd6-09e2-4661-910a-0a188b610c04","60545be9-4f28-4245-b4b4-07635c8dfa54","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-14T17:19:58.546+0000","2018-11-14T17:19:58.609+0000",124,"none","PRESERVED_SPECIMEN",3975616,6,7707728,220,1370,5386,2941178,2941185,2941185,"Trischidium molle (Benth.) H.E.Ireland","Bocoa mollis (Benth.) R.S.Cowan","Plantae","Tracheophyta","Fabales","Fabaceae","Bocoa","Bocoa mollis","Trischidium","molle","SPECIES","SYNONYM","none",NA,NA,"Ceará",2015,4,28,"2015-04-28T00:00:00","2018-11-09T19:19:28.000+0000","2018-12-08T15:43:23.855+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HUEFS - Herbario da Universidade Estadual de Feira de Santana","BRA:UEFS:HUEFS:0000220716","6063","HUEFS - Herbario da Universidade Estadual de Feira de Santana","Brejo Santo","ASV_Igrejinha, Caatinga arbóreo-densa. Solo arenoso.","pt","HUEFS",1252590854,"BRA:UEFS:HUEFS:0000220716","Collection","Oliveira, M.","220716","UEFS","Universidade Estadual de Feira de Santana (UEFS)","Savana Estépica","","",NA,"","","","","","",NA,NA,"","","","","","","",NA,"","",NA,NA,NA,NA,"","","",NA,"","",NA,"","","",NA,"Brejo Santo","Ceará","brazil",4390,"Brejo Santo",2302503,-38.921065,-7.556243,"CEARA","CE","Ceará",-39.61556123,-5.09311398,"Ceará","ce",-7.585278,-39.001667,"original coordinates","original coordinates OK"
